['x1', 'y2', 'w', 'h']
[279, 259, 186, 173]
[371, 259, 186, 173]
[463, 259, 186, 171]
[555, 259, 186, 171]
[647, 257, 186, 173]
[739, 257, 186, 173]
[831, 257, 186, 172]
[923, 257, 186, 172]
[1015, 257, 186, 172]
[1107, 256, 186, 171]
[1199, 256, 186, 171]
[1291, 254, 186, 173]
[1383, 254, 186, 172]
[1475, 253, 186, 173]
[1567, 253, 186, 171]
[1659, 253, 186, 173]
[1751, 251, 186, 175]
[1843, 251, 186, 172]
[1935, 250, 186, 173]
[2027, 250, 186, 171]
[2119, 248, 186, 173]
[2211, 248, 186, 172]
[2303, 247, 186, 173]
[2395, 247, 186, 173]
[2487, 247, 186, 173]
[2579, 247, 186, 173]
[2671, 248, 186, 172]
[2763, 248, 186, 172]
[2855, 248, 186, 173]
[2947, 250, 186, 173]
[3039, 250, 186, 174]
[3131, 251, 186, 175]
[3223, 254, 186, 175]
[3315, 257, 186, 176]
[3407, 259, 186, 180]
[279, 482, 186, 172]
[371, 482, 186, 172]
[463, 480, 186, 174]
[555, 480, 186, 174]
[647, 480, 186, 172]
[739, 480, 186, 172]
[831, 480, 186, 172]
[923, 479, 186, 173]
[1015, 478, 186, 174]
[1107, 478, 186, 173]
[1199, 478, 186, 173]
[1291, 478, 186, 173]
[1383, 476, 186, 175]
[1475, 476, 186, 175]
[1567, 476, 186, 173]
[1659, 476, 186, 173]
[1751, 475, 186, 174]
[1843, 475, 186, 174]
[1935, 473, 186, 175]
[2027, 473, 186, 175]
[2119, 473, 186, 175]
[2211, 472, 186, 176]
[2303, 472, 186, 176]
[2395, 472, 186, 174]
[2487, 472, 186, 174]
[2579, 472, 186, 174]
[2671, 472, 186, 176]
[2763, 473, 186, 175]
[2855, 472, 186, 174]
[2947, 472, 186, 174]
[3039, 473, 186, 175]
[3131, 475, 186, 173]
[3223, 475, 186, 174]
[3315, 476, 186, 173]
[3407, 479, 186, 173]
[279, 704, 186, 171]
[371, 705, 186, 170]
[463, 704, 186, 171]
[555, 704, 186, 173]
[647, 704, 186, 173]
[739, 704, 186, 171]
[831, 702, 186, 173]
[923, 702, 186, 173]
[1015, 702, 186, 173]
[1107, 702, 186, 173]
[1199, 702, 186, 172]
[1291, 702, 186, 172]
[1383, 702, 186, 173]
[1475, 702, 186, 173]
[1567, 702, 186, 173]
[1659, 701, 186, 173]
[1751, 701, 186, 173]
[1843, 701, 186, 173]
[1935, 701, 186, 173]
[2027, 701, 186, 173]
[2119, 699, 186, 176]
[2211, 699, 186, 176]
[2303, 699, 186, 175]
[2395, 699, 186, 175]
[2487, 699, 186, 175]
[2579, 699, 186, 175]
[2671, 699, 186, 175]
[2763, 699, 186, 175]
[2855, 698, 186, 176]
[2947, 698, 186, 176]
[3039, 698, 186, 174]
[3131, 698, 186, 173]
[3223, 698, 186, 173]
[3315, 698, 186, 173]
[3407, 698, 186, 171]
[279, 924, 186, 169]
[371, 924, 186, 169]
[463, 924, 186, 169]
[555, 924, 186, 170]
[647, 924, 186, 170]
[739, 924, 186, 170]
[831, 925, 186, 169]
[923, 924, 186, 170]
[1015, 924, 186, 172]
[1107, 924, 186, 172]
[1199, 924, 186, 172]
[1291, 924, 186, 172]
[1383, 924, 186, 173]
[1475, 925, 186, 174]
[1567, 925, 186, 174]
[1659, 925, 186, 172]
[1751, 925, 186, 174]
[1843, 925, 186, 174]
[1935, 925, 186, 175]
[2027, 925, 186, 175]
[2119, 927, 186, 173]
[2211, 927, 186, 173]
[2303, 927, 186, 173]
[2395, 927, 186, 173]
[2487, 927, 186, 173]
[2579, 927, 186, 173]
[2671, 927, 186, 173]
[2763, 925, 186, 175]
[2855, 925, 186, 174]
[2947, 924, 186, 175]
[3039, 923, 186, 174]
[3131, 923, 186, 173]
[3223, 921, 186, 173]
[3315, 918, 186, 175]
[3407, 915, 186, 175]
[279, 1140, 186, 168]
[371, 1140, 186, 170]
[463, 1140, 186, 170]
[555, 1141, 186, 170]
[647, 1141, 186, 172]
[739, 1141, 186, 172]
[831, 1143, 186, 171]
[923, 1143, 186, 173]
[1015, 1144, 186, 173]
[1107, 1146, 186, 173]
[1199, 1146, 186, 173]
[1291, 1147, 186, 173]
[1383, 1147, 186, 173]
[1475, 1147, 186, 175]
[1567, 1149, 186, 173]
[1659, 1149, 186, 174]
[1751, 1149, 186, 176]
[1843, 1150, 186, 175]
[1935, 1150, 186, 175]
[2027, 1152, 186, 174]
[2119, 1152, 186, 174]
[2211, 1152, 186, 176]
[2303, 1152, 186, 176]
[2395, 1153, 186, 175]
[2487, 1153, 186, 175]
[2579, 1152, 186, 176]
[2671, 1152, 186, 176]
[2763, 1152, 186, 174]
[2855, 1150, 186, 176]
[2947, 1149, 186, 176]
[3039, 1146, 186, 177]
[3131, 1143, 186, 177]
[3223, 1138, 186, 179]
[3315, 1134, 186, 180]
[3407, 1128, 186, 182]
