['x1', 'y2', 'w', 'h']
[382, 233, 321, 181]
[542, 233, 321, 178]
[702, 233, 321, 180]
[862, 233, 321, 181]
[1022, 236, 321, 181]
[1182, 239, 321, 179]
[1342, 241, 321, 177]
[1502, 242, 321, 176]
[1662, 242, 321, 178]
[1822, 244, 321, 179]
[1982, 248, 321, 179]
[2142, 251, 321, 178]
[2302, 254, 321, 176]
[2462, 254, 321, 176]
[2622, 254, 321, 176]
[2782, 255, 321, 177]
[2942, 257, 321, 178]
[3102, 261, 321, 177]
[3262, 266, 321, 175]
[3422, 270, 321, 175]
[382, 466, 321, 181]
[542, 466, 321, 179]
[702, 467, 321, 180]
[862, 467, 321, 181]
[1022, 470, 321, 178]
[1182, 472, 321, 177]
[1342, 472, 321, 179]
[1502, 473, 321, 178]
[1662, 473, 321, 178]
[1822, 475, 321, 177]
[1982, 475, 321, 179]
[2142, 476, 321, 179]
[2302, 479, 321, 178]
[2462, 481, 321, 176]
[2622, 482, 321, 176]
[2782, 485, 321, 175]
[2942, 485, 321, 175]
[3102, 485, 321, 175]
[3262, 486, 321, 175]
[3422, 488, 321, 176]
[382, 701, 321, 179]
[542, 701, 321, 179]
[702, 703, 321, 179]
[862, 703, 321, 179]
[1022, 704, 321, 178]
[1182, 704, 321, 178]
[1342, 704, 321, 178]
[1502, 706, 321, 177]
[1662, 706, 321, 177]
[1822, 707, 321, 176]
[1982, 707, 321, 176]
[2142, 707, 321, 176]
[2302, 709, 321, 174]
[2462, 709, 321, 174]
[2622, 709, 321, 174]
[2782, 710, 321, 173]
[2942, 710, 321, 173]
[3102, 710, 321, 175]
[3262, 712, 321, 173]
[3422, 712, 321, 174]
[382, 935, 321, 181]
[542, 938, 321, 178]
[702, 938, 321, 176]
[862, 937, 321, 177]
[1022, 937, 321, 176]
[1182, 937, 321, 176]
[1342, 937, 321, 174]
[1502, 937, 321, 174]
[1662, 937, 321, 173]
[1822, 937, 321, 173]
[1982, 937, 321, 173]
[2142, 935, 321, 174]
[2302, 935, 321, 174]
[2462, 935, 321, 174]
[2622, 935, 321, 172]
[2782, 935, 321, 172]
[2942, 935, 321, 172]
[3102, 935, 321, 172]
[3262, 935, 321, 172]
[3422, 935, 321, 172]
[382, 1165, 321, 186]
[542, 1169, 321, 184]
[702, 1172, 321, 181]
[862, 1169, 321, 182]
[1022, 1169, 321, 182]
[1182, 1168, 321, 183]
[1342, 1166, 321, 184]
[1502, 1166, 321, 182]
[1662, 1165, 321, 182]
[1822, 1165, 321, 182]
[1982, 1163, 321, 182]
[2142, 1163, 321, 181]
[2302, 1163, 321, 180]
[2462, 1163, 321, 178]
[2622, 1163, 321, 177]
[2782, 1162, 321, 178]
[2942, 1162, 321, 176]
[3102, 1159, 321, 178]
[3262, 1157, 321, 177]
[3422, 1157, 321, 175]
