['x1', 'y2', 'w', 'h']
[441, 228, 309, 176]
[595, 228, 309, 176]
[749, 228, 309, 176]
[903, 227, 309, 177]
[1057, 227, 309, 177]
[1211, 228, 309, 176]
[1365, 228, 309, 176]
[1519, 228, 309, 176]
[1673, 228, 309, 176]
[1827, 228, 309, 176]
[1981, 228, 309, 176]
[2135, 228, 309, 176]
[2289, 228, 309, 176]
[2443, 228, 309, 176]
[2597, 228, 309, 176]
[2751, 228, 309, 176]
[2905, 228, 309, 177]
[3059, 228, 309, 177]
[3213, 228, 309, 177]
[3367, 228, 309, 178]
[441, 461, 309, 179]
[595, 461, 309, 179]
[749, 461, 309, 179]
[903, 462, 309, 178]
[1057, 462, 309, 178]
[1211, 462, 309, 179]
[1365, 462, 309, 179]
[1519, 462, 309, 178]
[1673, 462, 309, 179]
[1827, 462, 309, 179]
[1981, 461, 309, 179]
[2135, 461, 309, 179]
[2289, 462, 309, 178]
[2443, 462, 309, 178]
[2597, 462, 309, 179]
[2751, 462, 309, 179]
[2905, 462, 309, 178]
[3059, 462, 309, 178]
[3213, 462, 309, 179]
[3367, 462, 309, 179]
[441, 697, 309, 179]
[595, 697, 309, 179]
[749, 697, 309, 179]
[903, 697, 309, 179]
[1057, 697, 309, 179]
[1211, 698, 309, 178]
[1365, 698, 309, 178]
[1519, 697, 309, 180]
[1673, 697, 309, 180]
[1827, 697, 309, 179]
[1981, 697, 309, 179]
[2135, 698, 309, 178]
[2289, 698, 309, 178]
[2443, 698, 309, 178]
[2597, 698, 309, 179]
[2751, 698, 309, 179]
[2905, 698, 309, 179]
[3059, 698, 309, 179]
[3213, 698, 309, 179]
[3367, 698, 309, 180]
