['x1', 'y2', 'w', 'h']
[423, 232, 281, 177]
[563, 232, 281, 177]
[703, 231, 281, 178]
[843, 231, 281, 178]
[983, 230, 281, 178]
[1123, 230, 281, 177]
[1263, 230, 281, 177]
[1403, 229, 281, 177]
[1543, 229, 281, 179]
[1683, 229, 281, 179]
[1823, 228, 281, 177]
[1963, 228, 281, 177]
[2103, 227, 281, 178]
[2243, 227, 281, 177]
[2383, 227, 281, 177]
[2523, 227, 281, 176]
[2663, 226, 281, 177]
[2803, 226, 281, 177]
[2943, 226, 281, 176]
[3083, 222, 281, 180]
[3223, 222, 281, 180]
[3363, 226, 281, 178]
[423, 465, 281, 179]
[563, 465, 281, 179]
[703, 465, 281, 178]
[843, 465, 281, 178]
[983, 464, 281, 180]
[1123, 464, 281, 180]
[1263, 464, 281, 178]
[1403, 463, 281, 179]
[1543, 463, 281, 178]
[1683, 463, 281, 178]
[1823, 462, 281, 179]
[1963, 462, 281, 178]
[2103, 461, 281, 179]
[2243, 461, 281, 179]
[2383, 461, 281, 179]
[2523, 460, 281, 180]
[2663, 460, 281, 179]
[2803, 460, 281, 178]
[2943, 460, 281, 178]
[3083, 460, 281, 178]
[3223, 459, 281, 179]
[3363, 459, 281, 180]
[423, 701, 281, 179]
[563, 701, 281, 179]
[703, 701, 281, 179]
[843, 700, 281, 180]
[983, 700, 281, 179]
[1123, 700, 281, 179]
[1263, 699, 281, 179]
[1403, 699, 281, 179]
[1543, 699, 281, 179]
[1683, 698, 281, 179]
[1823, 698, 281, 179]
[1963, 697, 281, 181]
[2103, 697, 281, 181]
[2243, 697, 281, 179]
[2383, 696, 281, 179]
[2523, 696, 281, 179]
[2663, 696, 281, 179]
[2803, 696, 281, 179]
[2943, 695, 281, 179]
[3083, 695, 281, 179]
[3223, 695, 281, 179]
[3363, 695, 281, 179]
[423, 937, 281, 177]
[563, 937, 281, 177]
[703, 937, 281, 177]
[843, 936, 281, 177]
[983, 936, 281, 177]
[1123, 936, 281, 177]
[1263, 935, 281, 178]
[1403, 935, 281, 178]
[1543, 934, 281, 179]
[1683, 934, 281, 178]
[1823, 934, 281, 177]
[1963, 934, 281, 177]
[2103, 933, 281, 177]
[2243, 933, 281, 177]
[2383, 933, 281, 177]
[2523, 932, 281, 177]
[2663, 932, 281, 177]
[2803, 932, 281, 177]
[2943, 932, 281, 176]
[3083, 931, 281, 177]
[3223, 931, 281, 177]
[3363, 931, 281, 177]
[423, 1170, 281, 178]
[563, 1171, 281, 177]
[703, 1170, 281, 178]
[843, 1170, 281, 178]
[983, 1170, 281, 177]
[1123, 1169, 281, 179]
[1263, 1169, 281, 179]
[1403, 1169, 281, 178]
[1543, 1168, 281, 178]
[1683, 1168, 281, 178]
[1823, 1168, 281, 178]
[1963, 1167, 281, 178]
[2103, 1167, 281, 178]
[2243, 1167, 281, 178]
[2383, 1166, 281, 178]
[2523, 1166, 281, 178]
[2663, 1166, 281, 178]
[2803, 1165, 281, 178]
[2943, 1165, 281, 178]
[3083, 1165, 281, 178]
[3223, 1165, 281, 178]
[3363, 1165, 281, 177]
