['x1', 'y2', 'w', 'h']
[385, 227, 258, 177]
[513, 227, 258, 177]
[641, 228, 258, 176]
[769, 228, 258, 176]
[897, 228, 258, 176]
[1025, 228, 258, 177]
[1153, 228, 258, 177]
[1281, 229, 258, 176]
[1409, 229, 258, 176]
[1537, 229, 258, 176]
[1665, 229, 258, 177]
[1793, 229, 258, 177]
[1921, 229, 258, 177]
[2049, 229, 258, 177]
[2177, 229, 258, 177]
[2305, 230, 258, 177]
[2433, 230, 258, 178]
[2561, 230, 258, 178]
[2689, 231, 258, 176]
[2817, 231, 258, 177]
[2945, 231, 258, 177]
[3073, 231, 258, 177]
[3201, 232, 258, 177]
[3329, 232, 258, 178]
[385, 461, 258, 178]
[513, 461, 258, 178]
[641, 461, 258, 179]
[769, 462, 258, 178]
[897, 462, 258, 178]
[1025, 462, 258, 178]
[1153, 462, 258, 179]
[1281, 463, 258, 178]
[1409, 463, 258, 178]
[1537, 463, 258, 178]
[1665, 463, 258, 178]
[1793, 463, 258, 178]
[1921, 463, 258, 178]
[2049, 463, 258, 179]
[2177, 463, 258, 179]
[2305, 464, 258, 178]
[2433, 464, 258, 179]
[2561, 464, 258, 179]
[2689, 464, 258, 179]
[2817, 464, 258, 179]
[2945, 465, 258, 178]
[3073, 465, 258, 179]
[3201, 466, 258, 178]
[3329, 466, 258, 179]
[385, 697, 258, 178]
[513, 697, 258, 179]
[641, 697, 258, 179]
[769, 697, 258, 179]
[897, 698, 258, 178]
[1025, 698, 258, 179]
[1153, 698, 258, 179]
[1281, 698, 258, 179]
[1409, 698, 258, 179]
[1537, 699, 258, 178]
[1665, 699, 258, 178]
[1793, 699, 258, 179]
[1921, 699, 258, 179]
[2049, 699, 258, 180]
[2177, 699, 258, 180]
[2305, 700, 258, 179]
[2433, 700, 258, 179]
[2561, 700, 258, 179]
[2689, 701, 258, 178]
[2817, 701, 258, 178]
[2945, 700, 258, 180]
[3073, 700, 258, 180]
[3201, 701, 258, 180]
[3329, 702, 258, 180]
[385, 932, 258, 177]
[513, 933, 258, 177]
[641, 933, 258, 177]
[769, 933, 258, 177]
[897, 933, 258, 178]
[1025, 934, 258, 177]
[1153, 934, 258, 177]
[1281, 934, 258, 177]
[1409, 935, 258, 176]
[1537, 934, 258, 178]
[1665, 934, 258, 178]
[1793, 935, 258, 177]
[1921, 935, 258, 177]
[2049, 935, 258, 177]
[2177, 935, 258, 178]
[2305, 936, 258, 177]
[2433, 936, 258, 177]
[2561, 937, 258, 176]
[2689, 937, 258, 176]
[2817, 937, 258, 177]
[2945, 937, 258, 177]
[3073, 937, 258, 178]
[3201, 937, 258, 178]
[3329, 938, 258, 178]
[385, 1166, 258, 178]
[513, 1166, 258, 178]
[641, 1167, 258, 177]
[769, 1167, 258, 178]
[897, 1167, 258, 178]
[1025, 1167, 258, 178]
[1153, 1168, 258, 178]
[1281, 1168, 258, 178]
[1409, 1168, 258, 178]
[1537, 1168, 258, 178]
[1665, 1169, 258, 177]
[1793, 1169, 258, 178]
[1921, 1169, 258, 178]
[2049, 1169, 258, 178]
[2177, 1169, 258, 178]
[2305, 1170, 258, 177]
[2433, 1170, 258, 178]
[2561, 1170, 258, 178]
[2689, 1170, 258, 178]
[2817, 1171, 258, 177]
[2945, 1171, 258, 178]
[3073, 1171, 258, 178]
[3201, 1172, 258, 178]
[3329, 1172, 258, 178]
[385, 1401, 258, 177]
[513, 1401, 258, 178]
[641, 1401, 258, 178]
[769, 1401, 258, 178]
[897, 1402, 258, 178]
[1025, 1402, 258, 178]
[1153, 1402, 258, 178]
[1281, 1403, 258, 177]
[1409, 1403, 258, 178]
[1537, 1403, 258, 178]
[1665, 1403, 258, 178]
[1793, 1403, 258, 178]
[1921, 1404, 258, 177]
[2049, 1404, 258, 178]
[2177, 1404, 258, 178]
[2305, 1404, 258, 178]
[2433, 1405, 258, 177]
[2561, 1405, 258, 178]
[2689, 1405, 258, 178]
[2817, 1405, 258, 178]
[2945, 1406, 258, 178]
[3073, 1406, 258, 178]
[3201, 1406, 258, 178]
[3329, 1406, 258, 179]
