['x1', 'y1', 'x2', 'y2']
[351, 194, 557, 380]
[454, 192, 660, 374]
[557, 192, 763, 376]
[660, 194, 866, 378]
[763, 194, 969, 380]
[866, 198, 1072, 383]
[969, 201, 1175, 385]
[1072, 205, 1278, 387]
[1175, 209, 1381, 389]
[1278, 212, 1484, 389]
[1381, 212, 1587, 389]
[1484, 212, 1690, 389]
[1587, 212, 1793, 389]
[1690, 212, 1896, 391]
[1793, 214, 1999, 394]
[1896, 216, 2102, 398]
[1999, 220, 2205, 402]
[2102, 225, 2308, 407]
[2205, 229, 2411, 409]
[2308, 236, 2514, 413]
[2411, 238, 2617, 416]
[2514, 240, 2720, 418]
[2617, 240, 2823, 418]
[2720, 240, 2926, 418]
[2823, 240, 3029, 418]
[2926, 240, 3132, 418]
[3029, 242, 3235, 420]
[3132, 245, 3338, 424]
[3235, 249, 3441, 427]
[3338, 256, 3544, 431]
[351, 432, 557, 618]
[454, 431, 660, 613]
[557, 431, 763, 611]
[660, 434, 866, 613]
[763, 436, 969, 613]
[866, 438, 1072, 616]
[969, 438, 1175, 616]
[1072, 440, 1278, 618]
[1175, 440, 1381, 620]
[1278, 442, 1484, 622]
[1381, 445, 1587, 622]
[1484, 447, 1690, 624]
[1587, 447, 1793, 624]
[1690, 447, 1896, 627]
[1793, 449, 1999, 629]
[1896, 449, 2102, 631]
[1999, 451, 2205, 633]
[2102, 455, 2308, 635]
[2205, 458, 2411, 638]
[2308, 460, 2514, 642]
[2411, 462, 2617, 644]
[2514, 466, 2720, 644]
[2617, 469, 2823, 648]
[2720, 471, 2926, 648]
[2823, 475, 3029, 651]
[2926, 473, 3132, 651]
[3029, 473, 3235, 651]
[3132, 473, 3338, 651]
[3235, 475, 3441, 653]
[3338, 477, 3544, 653]
[351, 671, 557, 853]
[454, 671, 660, 853]
[557, 671, 763, 855]
[660, 671, 866, 855]
[763, 671, 969, 855]
[866, 673, 1072, 857]
[969, 675, 1175, 857]
[1072, 677, 1278, 859]
[1175, 677, 1381, 862]
[1278, 677, 1484, 862]
[1381, 680, 1587, 864]
[1484, 682, 1690, 864]
[1587, 684, 1793, 866]
[1690, 684, 1896, 866]
[1793, 686, 1999, 866]
[1896, 688, 2102, 868]
[1999, 688, 2205, 870]
[2102, 691, 2308, 870]
[2205, 693, 2411, 873]
[2308, 695, 2514, 873]
[2411, 697, 2617, 873]
[2514, 699, 2720, 875]
[2617, 702, 2823, 875]
[2720, 702, 2926, 875]
[2823, 702, 3029, 877]
[2926, 704, 3132, 877]
[3029, 704, 3235, 879]
[3132, 704, 3338, 879]
[3235, 706, 3441, 879]
[3338, 706, 3544, 881]
[351, 910, 557, 1090]
[454, 910, 660, 1090]
[557, 910, 763, 1090]
[660, 912, 866, 1090]
[763, 912, 969, 1092]
[866, 915, 1072, 1092]
[969, 915, 1175, 1092]
[1072, 917, 1278, 1094]
[1175, 917, 1381, 1094]
[1278, 919, 1484, 1094]
[1381, 919, 1587, 1094]
[1484, 919, 1690, 1094]
[1587, 919, 1793, 1097]
[1690, 921, 1896, 1097]
[1793, 921, 1999, 1097]
[1896, 923, 2102, 1097]
[1999, 923, 2205, 1097]
[2102, 926, 2308, 1099]
[2205, 926, 2411, 1099]
[2308, 926, 2514, 1099]
[2411, 926, 2617, 1101]
[2514, 928, 2720, 1101]
[2617, 928, 2823, 1101]
[2720, 930, 2926, 1103]
[2823, 930, 3029, 1103]
[2926, 930, 3132, 1103]
[3029, 932, 3235, 1103]
[3132, 932, 3338, 1105]
[3235, 932, 3441, 1105]
[3338, 932, 3544, 1105]
[351, 1148, 557, 1327]
[454, 1148, 660, 1327]
[557, 1148, 763, 1330]
[660, 1148, 866, 1330]
[763, 1150, 969, 1330]
[866, 1150, 1072, 1330]
[969, 1150, 1175, 1330]
[1072, 1150, 1278, 1330]
[1175, 1150, 1381, 1330]
[1278, 1152, 1484, 1330]
[1381, 1152, 1587, 1330]
[1484, 1152, 1690, 1330]
[1587, 1152, 1793, 1330]
[1690, 1152, 1896, 1330]
[1793, 1152, 1999, 1330]
[1896, 1152, 2102, 1330]
[1999, 1154, 2205, 1330]
[2102, 1154, 2308, 1330]
[2205, 1154, 2411, 1330]
[2308, 1152, 2514, 1330]
