['x1', 'y1', 'x2', 'y2']
[667, 177, 952, 364]
[809, 177, 1094, 364]
[951, 175, 1236, 362]
[1093, 175, 1378, 362]
[1235, 175, 1520, 364]
[1377, 175, 1662, 364]
[1519, 173, 1804, 362]
[1661, 172, 1946, 362]
[1803, 172, 2088, 362]
[1945, 168, 2230, 360]
[2087, 168, 2372, 359]
[2229, 168, 2514, 357]
[2371, 168, 2656, 355]
[2513, 168, 2798, 355]
[2655, 168, 2940, 359]
[2797, 170, 3082, 362]
[2939, 172, 3224, 369]
[3081, 179, 3366, 380]
[3223, 186, 3508, 397]
[667, 429, 952, 616]
[809, 429, 1094, 616]
[951, 429, 1236, 616]
[1093, 429, 1378, 616]
[1235, 429, 1520, 616]
[1377, 428, 1662, 616]
[1519, 428, 1804, 616]
[1661, 428, 1946, 616]
[1803, 426, 2088, 615]
[1945, 426, 2230, 613]
[2087, 424, 2372, 613]
[2229, 424, 2514, 613]
[2371, 422, 2656, 613]
[2513, 422, 2798, 613]
[2655, 422, 2940, 615]
[2797, 424, 3082, 616]
[2939, 426, 3224, 622]
[3081, 429, 3366, 627]
[3223, 436, 3508, 637]
[667, 682, 952, 867]
[809, 682, 1094, 867]
[951, 682, 1236, 867]
[1093, 682, 1378, 869]
[1235, 682, 1520, 869]
[1377, 682, 1662, 869]
[1519, 682, 1804, 869]
[1661, 682, 1946, 869]
[1803, 680, 2088, 869]
[1945, 680, 2230, 869]
[2087, 680, 2372, 871]
[2229, 680, 2514, 871]
[2371, 680, 2656, 871]
[2513, 680, 2798, 871]
[2655, 680, 2940, 871]
[2797, 682, 3082, 872]
[2939, 684, 3224, 874]
[3081, 685, 3366, 876]
[3223, 689, 3508, 879]
[667, 931, 952, 1114]
[809, 931, 1094, 1116]
[951, 931, 1236, 1116]
[1093, 933, 1378, 1120]
[1235, 933, 1520, 1120]
[1377, 934, 1662, 1120]
[1519, 934, 1804, 1121]
[1661, 936, 1946, 1123]
[1803, 936, 2088, 1123]
[1945, 936, 2230, 1125]
[2087, 938, 2372, 1127]
[2229, 938, 2514, 1127]
[2371, 940, 2656, 1128]
[2513, 940, 2798, 1128]
[2655, 940, 2940, 1128]
[2797, 941, 3082, 1128]
[2939, 941, 3224, 1128]
[3081, 940, 3366, 1127]
[3223, 940, 3508, 1125]
[667, 1176, 952, 1365]
[809, 1178, 1094, 1365]
[951, 1178, 1236, 1369]
[1093, 1180, 1378, 1370]
[1235, 1182, 1520, 1372]
[1377, 1183, 1662, 1374]
[1519, 1187, 1804, 1377]
[1661, 1187, 1946, 1379]
[1803, 1190, 2088, 1381]
[1945, 1190, 2230, 1383]
[2087, 1192, 2372, 1384]
[2229, 1194, 2514, 1386]
[2371, 1196, 2656, 1386]
[2513, 1197, 2798, 1386]
[2655, 1197, 2940, 1386]
[2797, 1196, 3082, 1386]
[2939, 1192, 3224, 1384]
[3081, 1187, 3366, 1383]
[3223, 1178, 3508, 1377]
[667, 1429, 952, 1621]
[809, 1431, 1094, 1623]
[951, 1432, 1236, 1623]
[1093, 1432, 1378, 1625]
[1235, 1436, 1520, 1626]
[1377, 1438, 1662, 1630]
[1519, 1441, 1804, 1632]
[1661, 1443, 1946, 1635]
[1803, 1446, 2088, 1637]
[1945, 1448, 2230, 1640]
[2087, 1450, 2372, 1644]
[2229, 1452, 2514, 1644]
[2371, 1455, 2656, 1646]
[2513, 1455, 2798, 1646]
[2655, 1453, 2940, 1646]
[2797, 1450, 3082, 1644]
[2939, 1445, 3224, 1640]
[3081, 1434, 3366, 1637]
[3223, 1418, 3508, 1628]
