['x1', 'y1', 'x2', 'y2']
[771, 155, 1046, 341]
[908, 153, 1183, 341]
[1045, 153, 1320, 341]
[1182, 151, 1457, 341]
[1319, 151, 1594, 341]
[1456, 151, 1731, 341]
[1593, 149, 1868, 339]
[1730, 147, 2005, 339]
[1867, 145, 2142, 337]
[2004, 143, 2279, 337]
[2141, 141, 2416, 335]
[2278, 141, 2553, 331]
[2415, 141, 2690, 331]
[2552, 143, 2827, 333]
[2689, 143, 2964, 339]
[2826, 147, 3101, 346]
[2963, 153, 3238, 358]
[3100, 162, 3375, 379]
[771, 407, 1046, 594]
[908, 407, 1183, 594]
[1045, 408, 1320, 594]
[1182, 407, 1457, 594]
[1319, 407, 1594, 594]
[1456, 407, 1731, 594]
[1593, 405, 1868, 592]
[1730, 403, 2005, 592]
[1867, 401, 2142, 591]
[2004, 401, 2279, 589]
[2141, 399, 2416, 589]
[2278, 397, 2553, 587]
[2415, 397, 2690, 587]
[2552, 397, 2827, 589]
[2689, 399, 2964, 592]
[2826, 401, 3101, 598]
[2963, 405, 3238, 606]
[3100, 412, 3375, 619]
[771, 660, 1046, 846]
[908, 660, 1183, 846]
[1045, 660, 1320, 846]
[1182, 658, 1457, 846]
[1319, 658, 1594, 846]
[1456, 658, 1731, 846]
[1593, 657, 1868, 846]
[1730, 657, 2005, 846]
[1867, 657, 2142, 844]
[2004, 657, 2279, 844]
[2141, 655, 2416, 844]
[2278, 655, 2553, 844]
[2415, 655, 2690, 844]
[2552, 657, 2827, 846]
[2689, 657, 2964, 848]
[2826, 658, 3101, 850]
[2963, 660, 3238, 856]
[3100, 664, 3375, 860]
[771, 908, 1046, 1092]
[908, 908, 1183, 1094]
[1045, 910, 1320, 1094]
[1182, 910, 1457, 1094]
[1319, 912, 1594, 1096]
[1456, 912, 1731, 1098]
[1593, 912, 1868, 1098]
[1730, 912, 2005, 1098]
[1867, 912, 2142, 1100]
[2004, 912, 2279, 1100]
[2141, 912, 2416, 1102]
[2278, 914, 2553, 1102]
[2415, 914, 2690, 1102]
[2552, 914, 2827, 1102]
[2689, 914, 2964, 1104]
[2826, 916, 3101, 1104]
[2963, 916, 3238, 1102]
[3100, 918, 3375, 1102]
[771, 1155, 1046, 1342]
[908, 1156, 1183, 1344]
[1045, 1158, 1320, 1346]
[1182, 1158, 1457, 1348]
[1319, 1160, 1594, 1348]
[1456, 1160, 1731, 1352]
[1593, 1162, 1868, 1352]
[1730, 1164, 2005, 1356]
[1867, 1166, 2142, 1356]
[2004, 1168, 2279, 1358]
[2141, 1168, 2416, 1360]
[2278, 1170, 2553, 1360]
[2415, 1170, 2690, 1362]
[2552, 1172, 2827, 1362]
[2689, 1170, 2964, 1362]
[2826, 1168, 3101, 1360]
[2963, 1166, 3238, 1358]
[3100, 1160, 3375, 1354]
[771, 1406, 1046, 1598]
[908, 1408, 1183, 1600]
[1045, 1408, 1320, 1602]
[1182, 1410, 1457, 1602]
[1319, 1412, 1594, 1604]
[1456, 1416, 1731, 1606]
[1593, 1418, 1868, 1608]
[1730, 1420, 2005, 1612]
[1867, 1422, 2142, 1614]
[2004, 1424, 2279, 1617]
[2141, 1426, 2416, 1619]
[2278, 1428, 2553, 1619]
[2415, 1430, 2690, 1619]
[2552, 1428, 2827, 1619]
[2689, 1426, 2964, 1619]
[2826, 1420, 3101, 1617]
[2963, 1412, 3238, 1612]
[3100, 1401, 3375, 1606]
[771, 1664, 1046, 1858]
[908, 1666, 1183, 1858]
[1045, 1668, 1320, 1862]
[1182, 1670, 1457, 1864]
[1319, 1672, 1594, 1864]
[1456, 1676, 1731, 1867]
[1593, 1678, 1868, 1869]
[1730, 1680, 2005, 1873]
[1867, 1680, 2142, 1873]
[2004, 1681, 2279, 1877]
[2141, 1683, 2416, 1877]
[2278, 1687, 2553, 1879]
[2415, 1687, 2690, 1879]
[2552, 1685, 2827, 1877]
[2689, 1680, 2964, 1875]
[2826, 1672, 3101, 1873]
[2963, 1660, 3238, 1867]
[3100, 1639, 3375, 1858]
