['x1', 'y1', 'x2', 'y2']
[352, 247, 614, 425]
[483, 246, 745, 423]
[614, 246, 876, 421]
[745, 246, 1007, 423]
[876, 247, 1138, 425]
[1007, 249, 1269, 427]
[1138, 252, 1400, 427]
[1269, 255, 1531, 428]
[1400, 253, 1662, 428]
[1531, 253, 1793, 428]
[1662, 255, 1924, 428]
[1793, 256, 2055, 431]
[1924, 258, 2186, 434]
[2055, 262, 2317, 436]
[2186, 265, 2448, 437]
[2317, 265, 2579, 439]
[2448, 265, 2710, 439]
[2579, 265, 2841, 439]
[2710, 266, 2972, 439]
[2841, 268, 3103, 440]
[2972, 269, 3234, 441]
[3103, 272, 3365, 444]
[3234, 276, 3496, 446]
[3365, 278, 3627, 447]
[352, 477, 614, 654]
[483, 477, 745, 652]
[614, 477, 876, 652]
[745, 477, 1007, 654]
[876, 478, 1138, 654]
[1007, 480, 1269, 655]
[1138, 481, 1400, 655]
[1269, 483, 1531, 656]
[1400, 483, 1662, 656]
[1531, 483, 1793, 656]
[1662, 483, 1924, 656]
[1793, 483, 2055, 656]
[1924, 483, 2186, 658]
[2055, 484, 2317, 659]
[2186, 486, 2448, 659]
[2317, 487, 2579, 661]
[2448, 488, 2710, 661]
[2579, 490, 2841, 662]
[2710, 491, 2972, 664]
[2841, 491, 3103, 664]
[2972, 491, 3234, 664]
[3103, 491, 3365, 664]
[3234, 493, 3496, 664]
[3365, 494, 3627, 665]
[352, 708, 614, 884]
[483, 709, 745, 886]
[614, 709, 876, 886]
[745, 709, 1007, 886]
[876, 709, 1138, 884]
[1007, 711, 1269, 884]
[1138, 711, 1400, 884]
[1269, 711, 1531, 884]
[1400, 711, 1662, 884]
[1531, 711, 1793, 884]
[1662, 711, 1924, 884]
[1793, 712, 2055, 884]
[1924, 712, 2186, 884]
[2055, 712, 2317, 884]
[2186, 712, 2448, 884]
[2317, 712, 2579, 884]
[2448, 714, 2710, 883]
[2579, 714, 2841, 884]
[2710, 714, 2972, 884]
[2841, 714, 3103, 884]
[2972, 714, 3234, 884]
[3103, 714, 3365, 884]
[3234, 714, 3496, 884]
[3365, 715, 3627, 886]
[352, 939, 614, 1117]
[483, 940, 745, 1117]
[614, 942, 876, 1115]
[745, 940, 1007, 1114]
[876, 940, 1138, 1114]
[1007, 940, 1269, 1112]
[1138, 940, 1400, 1112]
[1269, 940, 1531, 1112]
[1400, 939, 1662, 1111]
[1531, 939, 1793, 1111]
[1662, 939, 1924, 1110]
[1793, 937, 2055, 1110]
[1924, 937, 2186, 1108]
[2055, 937, 2317, 1108]
[2186, 937, 2448, 1108]
[2317, 936, 2579, 1107]
[2448, 936, 2710, 1107]
[2579, 936, 2841, 1107]
[2710, 936, 2972, 1105]
[2841, 934, 3103, 1105]
[2972, 934, 3234, 1105]
[3103, 934, 3365, 1105]
[3234, 934, 3496, 1105]
[3365, 934, 3627, 1105]
[352, 1165, 614, 1348]
[483, 1170, 745, 1349]
[614, 1173, 876, 1349]
[745, 1171, 1007, 1349]
[876, 1170, 1138, 1349]
[1007, 1168, 1269, 1348]
[1138, 1168, 1400, 1348]
[1269, 1168, 1531, 1346]
[1400, 1167, 1662, 1345]
[1531, 1165, 1793, 1343]
[1662, 1165, 1924, 1343]
[1793, 1164, 2055, 1342]
[1924, 1164, 2186, 1340]
[2055, 1162, 2317, 1339]
[2186, 1162, 2448, 1338]
[2317, 1161, 2579, 1336]
[2448, 1161, 2710, 1336]
[2579, 1161, 2841, 1335]
[2710, 1159, 2972, 1333]
[2841, 1159, 3103, 1332]
[2972, 1158, 3234, 1332]
[3103, 1155, 3365, 1329]
[3234, 1155, 3496, 1327]
[3365, 1154, 3627, 1326]
