['x1', 'y1', 'x2', 'y2']
[291, 240, 523, 416]
[407, 240, 639, 413]
[523, 240, 755, 414]
[639, 241, 871, 414]
[755, 241, 987, 416]
[871, 243, 1103, 417]
[987, 243, 1219, 418]
[1103, 245, 1335, 418]
[1219, 245, 1451, 421]
[1335, 246, 1567, 421]
[1451, 248, 1683, 422]
[1567, 249, 1799, 423]
[1683, 250, 1915, 423]
[1799, 250, 2031, 425]
[1915, 253, 2147, 426]
[2031, 254, 2263, 427]
[2147, 255, 2379, 428]
[2263, 257, 2495, 430]
[2379, 259, 2611, 431]
[2495, 259, 2727, 431]
[2611, 263, 2843, 431]
[2727, 264, 2959, 432]
[2843, 265, 3075, 432]
[2959, 267, 3191, 432]
[3075, 267, 3307, 433]
[3191, 267, 3423, 435]
[3307, 267, 3539, 436]
[3423, 268, 3655, 437]
[291, 466, 523, 640]
[407, 466, 639, 640]
[523, 467, 755, 640]
[639, 467, 871, 641]
[755, 468, 987, 641]
[871, 470, 1103, 643]
[987, 470, 1219, 643]
[1103, 471, 1335, 643]
[1219, 472, 1451, 643]
[1335, 472, 1567, 644]
[1451, 472, 1683, 644]
[1567, 473, 1799, 644]
[1683, 475, 1915, 644]
[1799, 475, 2031, 644]
[1915, 475, 2147, 645]
[2031, 476, 2263, 645]
[2147, 476, 2379, 647]
[2263, 477, 2495, 647]
[2379, 477, 2611, 647]
[2495, 478, 2727, 648]
[2611, 478, 2843, 648]
[2727, 480, 2959, 649]
[2843, 480, 3075, 649]
[2959, 481, 3191, 649]
[3075, 482, 3307, 649]
[3191, 482, 3423, 650]
[3307, 482, 3539, 650]
[3423, 482, 3655, 650]
[291, 693, 523, 868]
[407, 694, 639, 870]
[523, 694, 755, 870]
[639, 695, 871, 870]
[755, 695, 987, 870]
[871, 695, 1103, 870]
[987, 695, 1219, 871]
[1103, 695, 1335, 871]
[1219, 695, 1451, 870]
[1335, 695, 1567, 870]
[1451, 695, 1683, 870]
[1567, 697, 1799, 870]
[1683, 697, 1915, 870]
[1799, 697, 2031, 870]
[1915, 697, 2147, 870]
[2031, 697, 2263, 868]
[2147, 697, 2379, 868]
[2263, 697, 2495, 868]
[2379, 697, 2611, 868]
[2495, 698, 2727, 868]
[2611, 698, 2843, 868]
[2727, 698, 2959, 868]
[2843, 698, 3075, 868]
[2959, 698, 3191, 867]
[3075, 698, 3307, 867]
[3191, 698, 3423, 867]
[3307, 698, 3539, 867]
[3423, 698, 3655, 867]
[291, 918, 523, 1095]
[407, 921, 639, 1095]
[523, 921, 755, 1095]
[639, 921, 871, 1094]
[755, 920, 987, 1093]
[871, 920, 1103, 1093]
[987, 920, 1219, 1092]
[1103, 920, 1335, 1090]
[1219, 918, 1451, 1089]
[1335, 918, 1567, 1088]
[1451, 917, 1683, 1088]
[1567, 917, 1799, 1087]
[1683, 917, 1915, 1087]
[1799, 917, 2031, 1085]
[1915, 917, 2147, 1085]
[2031, 917, 2263, 1085]
[2147, 917, 2379, 1084]
[2263, 917, 2495, 1084]
[2379, 917, 2611, 1083]
[2495, 916, 2727, 1083]
[2611, 916, 2843, 1083]
[2727, 916, 2959, 1083]
[2843, 915, 3075, 1083]
[2959, 915, 3191, 1083]
[3075, 915, 3307, 1083]
[3191, 915, 3423, 1083]
[3307, 915, 3539, 1083]
[3423, 915, 3655, 1083]
