['x1', 'y1', 'x2', 'y2']
[755, 160, 1010, 345]
[882, 158, 1137, 345]
[1009, 156, 1264, 345]
[1136, 156, 1391, 345]
[1263, 156, 1518, 344]
[1390, 156, 1645, 344]
[1517, 154, 1772, 344]
[1644, 154, 1899, 344]
[1771, 152, 2026, 342]
[1898, 148, 2153, 342]
[2025, 146, 2280, 340]
[2152, 146, 2407, 336]
[2279, 146, 2534, 336]
[2406, 146, 2661, 334]
[2533, 146, 2788, 336]
[2660, 148, 2915, 342]
[2787, 152, 3042, 347]
[2914, 156, 3169, 357]
[3041, 164, 3296, 372]
[755, 411, 1010, 599]
[882, 411, 1137, 599]
[1009, 411, 1264, 599]
[1136, 411, 1391, 599]
[1263, 411, 1518, 599]
[1390, 411, 1645, 599]
[1517, 409, 1772, 597]
[1644, 407, 1899, 595]
[1771, 405, 2026, 595]
[1898, 405, 2153, 593]
[2025, 403, 2280, 593]
[2152, 402, 2407, 591]
[2279, 402, 2534, 589]
[2406, 402, 2661, 589]
[2533, 402, 2788, 591]
[2660, 402, 2915, 595]
[2787, 403, 3042, 599]
[2914, 409, 3169, 606]
[3041, 413, 3296, 616]
[755, 664, 1010, 848]
[882, 662, 1137, 848]
[1009, 662, 1264, 848]
[1136, 661, 1391, 850]
[1263, 661, 1518, 850]
[1390, 661, 1645, 848]
[1517, 661, 1772, 848]
[1644, 661, 1899, 848]
[1771, 659, 2026, 848]
[1898, 659, 2153, 848]
[2025, 659, 2280, 848]
[2152, 659, 2407, 848]
[2279, 659, 2534, 848]
[2406, 659, 2661, 848]
[2533, 659, 2788, 848]
[2660, 659, 2915, 850]
[2787, 661, 3042, 852]
[2914, 664, 3169, 856]
[3041, 666, 3296, 861]
[755, 912, 1010, 1095]
[882, 912, 1137, 1095]
[1009, 914, 1264, 1095]
[1136, 914, 1391, 1097]
[1263, 914, 1518, 1097]
[1390, 914, 1645, 1099]
[1517, 914, 1772, 1099]
[1644, 914, 1899, 1099]
[1771, 916, 2026, 1101]
[1898, 916, 2153, 1101]
[2025, 916, 2280, 1101]
[2152, 916, 2407, 1103]
[2279, 916, 2534, 1103]
[2406, 916, 2661, 1105]
[2533, 918, 2788, 1105]
[2660, 918, 2915, 1105]
[2787, 918, 3042, 1105]
[2914, 919, 3169, 1105]
[3041, 919, 3296, 1105]
[755, 1157, 1010, 1343]
[882, 1157, 1137, 1345]
[1009, 1159, 1264, 1347]
[1136, 1161, 1391, 1349]
[1263, 1161, 1518, 1351]
[1390, 1163, 1645, 1352]
[1517, 1165, 1772, 1352]
[1644, 1165, 1899, 1354]
[1771, 1167, 2026, 1356]
[1898, 1169, 2153, 1358]
[2025, 1169, 2280, 1360]
[2152, 1171, 2407, 1360]
[2279, 1171, 2534, 1362]
[2406, 1173, 2661, 1362]
[2533, 1173, 2788, 1362]
[2660, 1173, 2915, 1362]
[2787, 1171, 3042, 1360]
[2914, 1169, 3169, 1360]
[3041, 1163, 3296, 1356]
[755, 1409, 1010, 1598]
[882, 1409, 1137, 1600]
[1009, 1411, 1264, 1602]
[1136, 1412, 1391, 1604]
[1263, 1414, 1518, 1604]
[1390, 1414, 1645, 1606]
[1517, 1418, 1772, 1608]
[1644, 1420, 1899, 1610]
[1771, 1422, 2026, 1613]
[1898, 1424, 2153, 1615]
[2025, 1426, 2280, 1617]
[2152, 1428, 2407, 1619]
[2279, 1428, 2534, 1619]
[2406, 1430, 2661, 1619]
[2533, 1430, 2788, 1619]
[2660, 1428, 2915, 1619]
[2787, 1424, 3042, 1617]
[2914, 1418, 3169, 1613]
[3041, 1407, 3296, 1610]
[755, 1666, 1010, 1857]
[882, 1668, 1137, 1859]
[1009, 1669, 1264, 1861]
[1136, 1671, 1391, 1863]
[1263, 1671, 1518, 1863]
[1390, 1675, 1645, 1867]
[1517, 1677, 1772, 1868]
[1644, 1679, 1899, 1870]
[1771, 1679, 2026, 1872]
[1898, 1681, 2153, 1874]
[2025, 1683, 2280, 1876]
[2152, 1685, 2407, 1878]
[2279, 1687, 2534, 1878]
[2406, 1689, 2661, 1878]
[2533, 1685, 2788, 1878]
[2660, 1681, 2915, 1876]
[2787, 1675, 3042, 1872]
[2914, 1666, 3169, 1868]
[3041, 1648, 3296, 1861]
