['x1', 'y2', 'w', 'h']
[884, 222, 386, 178]
[1076, 222, 386, 176]
[1268, 222, 386, 176]
[1460, 220, 386, 178]
[1652, 218, 386, 180]
[1844, 215, 386, 181]
[2036, 213, 386, 182]
[2228, 209, 386, 184]
[2420, 209, 386, 180]
[2612, 209, 386, 182]
[2804, 211, 386, 189]
[2996, 217, 386, 195]
[3188, 225, 386, 203]
[3380, 241, 386, 187]
[884, 454, 386, 177]
[1076, 453, 386, 178]
[1268, 453, 386, 178]
[1460, 451, 386, 178]
[1652, 449, 386, 178]
[1844, 447, 386, 180]
[2036, 445, 386, 180]
[2228, 444, 386, 180]
[2420, 444, 386, 180]
[2612, 444, 386, 181]
[2804, 445, 386, 186]
[2996, 447, 386, 192]
[3188, 454, 386, 194]
[3380, 467, 386, 181]
[884, 683, 386, 177]
[1076, 683, 386, 177]
[1268, 683, 386, 177]
[1460, 682, 386, 178]
[1652, 682, 386, 178]
[1844, 682, 386, 178]
[2036, 680, 386, 180]
[2228, 680, 386, 180]
[2420, 680, 386, 181]
[2612, 682, 386, 179]
[2804, 682, 386, 181]
[2996, 683, 386, 184]
[3188, 687, 386, 181]
[3380, 692, 386, 176]
[884, 910, 386, 177]
[1076, 912, 386, 176]
[1268, 912, 386, 176]
[1460, 914, 386, 178]
[1652, 914, 386, 178]
[1844, 916, 386, 176]
[2036, 916, 386, 178]
[2228, 916, 386, 180]
[2420, 918, 386, 178]
[2612, 918, 386, 178]
[2804, 918, 386, 178]
[2996, 918, 386, 178]
[3188, 918, 386, 176]
[3380, 918, 386, 172]
[884, 1138, 386, 179]
[1076, 1138, 386, 181]
[1268, 1141, 386, 182]
[1460, 1143, 386, 181]
[1652, 1145, 386, 183]
[1844, 1146, 386, 184]
[2036, 1148, 386, 182]
[2228, 1152, 386, 181]
[2420, 1152, 386, 181]
[2612, 1152, 386, 181]
[2804, 1148, 386, 185]
[2996, 1143, 386, 187]
[3188, 1138, 386, 186]
[3380, 1138, 386, 176]
[884, 1370, 386, 183]
[1076, 1372, 386, 185]
[1268, 1374, 386, 185]
[1460, 1375, 386, 185]
[1652, 1377, 386, 185]
[1844, 1381, 386, 185]
[2036, 1382, 386, 186]
[2228, 1386, 386, 183]
[2420, 1390, 386, 181]
[2612, 1386, 386, 185]
[2804, 1381, 386, 187]
[2996, 1367, 386, 197]
[3188, 1356, 386, 199]
[3380, 1356, 386, 183]
