['x1', 'y2', 'w', 'h']
[375, 223, 316, 182]
[532, 223, 316, 176]
[689, 224, 316, 176]
[846, 226, 316, 176]
[1003, 227, 316, 176]
[1160, 229, 316, 177]
[1317, 230, 316, 176]
[1474, 231, 316, 177]
[1631, 233, 316, 176]
[1788, 233, 316, 178]
[1945, 233, 316, 180]
[2102, 237, 316, 178]
[2259, 240, 316, 178]
[2416, 242, 316, 179]
[2573, 244, 316, 178]
[2730, 249, 316, 175]
[2887, 252, 316, 173]
[3044, 252, 316, 173]
[3201, 252, 316, 173]
[3358, 252, 316, 174]
[375, 455, 316, 182]
[532, 455, 316, 181]
[689, 457, 316, 179]
[846, 458, 316, 181]
[1003, 459, 316, 180]
[1160, 461, 316, 179]
[1317, 462, 316, 178]
[1474, 464, 316, 177]
[1631, 464, 316, 177]
[1788, 465, 316, 176]
[1945, 465, 316, 178]
[2102, 467, 316, 177]
[2259, 470, 316, 174]
[2416, 471, 316, 173]
[2573, 473, 316, 173]
[2730, 473, 316, 173]
[2887, 473, 316, 174]
[3044, 474, 316, 173]
[3201, 475, 316, 172]
[3358, 475, 316, 174]
[375, 692, 316, 180]
[532, 692, 316, 180]
[689, 692, 316, 180]
[846, 692, 316, 179]
[1003, 693, 316, 178]
[1160, 693, 316, 178]
[1317, 693, 316, 178]
[1474, 695, 316, 176]
[1631, 695, 316, 176]
[1788, 695, 316, 176]
[1945, 695, 316, 176]
[2102, 695, 316, 176]
[2259, 696, 316, 175]
[2416, 696, 316, 175]
[2573, 696, 316, 175]
[2730, 696, 316, 175]
[2887, 698, 316, 173]
[3044, 698, 316, 174]
[3201, 698, 316, 174]
[3358, 699, 316, 173]
[375, 924, 316, 182]
[532, 929, 316, 177]
[689, 929, 316, 177]
[846, 929, 316, 177]
[1003, 929, 316, 176]
[1160, 929, 316, 176]
[1317, 929, 316, 174]
[1474, 927, 316, 176]
[1631, 927, 316, 175]
[1788, 927, 316, 173]
[1945, 926, 316, 174]
[2102, 926, 316, 174]
[2259, 926, 316, 173]
[2416, 926, 316, 173]
[2573, 926, 316, 171]
[2730, 924, 316, 173]
[2887, 924, 316, 172]
[3044, 923, 316, 173]
[3201, 923, 316, 173]
[3358, 923, 316, 172]
[375, 1155, 316, 185]
[532, 1158, 316, 182]
[689, 1157, 316, 183]
[846, 1155, 316, 184]
[1003, 1154, 316, 182]
[1160, 1154, 316, 180]
[1317, 1152, 316, 179]
[1474, 1151, 316, 177]
[1631, 1151, 316, 177]
[1788, 1149, 316, 179]
[1945, 1149, 316, 178]
[2102, 1148, 316, 178]
[2259, 1148, 316, 176]
[2416, 1148, 316, 176]
[2573, 1146, 316, 177]
[2730, 1145, 316, 176]
[2887, 1145, 316, 176]
[3044, 1145, 316, 176]
[3201, 1145, 316, 176]
[3358, 1145, 316, 176]
