['x1', 'y2', 'w', 'h']
[379, 211, 248, 185]
[502, 211, 248, 178]
[625, 211, 248, 183]
[748, 211, 248, 185]
[871, 213, 248, 185]
[994, 217, 248, 183]
[1117, 222, 248, 180]
[1240, 226, 248, 176]
[1363, 226, 248, 176]
[1486, 226, 248, 176]
[1609, 226, 248, 176]
[1732, 228, 248, 176]
[1855, 228, 248, 181]
[1978, 232, 248, 181]
[2101, 237, 248, 180]
[2224, 243, 248, 179]
[2347, 248, 248, 178]
[2470, 252, 248, 176]
[2593, 254, 248, 176]
[2716, 254, 248, 176]
[2839, 254, 248, 176]
[2962, 254, 248, 174]
[3085, 254, 248, 176]
[3208, 258, 248, 179]
[3331, 265, 248, 174]
[379, 443, 248, 185]
[502, 443, 248, 181]
[625, 443, 248, 179]
[748, 446, 248, 178]
[871, 448, 248, 178]
[994, 450, 248, 178]
[1117, 450, 248, 178]
[1240, 452, 248, 178]
[1363, 454, 248, 176]
[1486, 454, 248, 179]
[1609, 456, 248, 179]
[1732, 458, 248, 179]
[1855, 458, 248, 181]
[1978, 461, 248, 180]
[2101, 463, 248, 180]
[2224, 467, 248, 181]
[2347, 469, 248, 181]
[2470, 471, 248, 181]
[2593, 476, 248, 178]
[2716, 478, 248, 178]
[2839, 482, 248, 174]
[2962, 482, 248, 174]
[3085, 480, 248, 176]
[3208, 480, 248, 176]
[3331, 482, 248, 176]
[379, 678, 248, 183]
[502, 678, 248, 180]
[625, 678, 248, 183]
[748, 678, 248, 183]
[871, 680, 248, 183]
[994, 682, 248, 183]
[1117, 684, 248, 181]
[1240, 684, 248, 181]
[1363, 687, 248, 180]
[1486, 687, 248, 182]
[1609, 689, 248, 180]
[1732, 689, 248, 182]
[1855, 691, 248, 180]
[1978, 693, 248, 178]
[2101, 695, 248, 179]
[2224, 695, 248, 179]
[2347, 700, 248, 176]
[2470, 702, 248, 174]
[2593, 704, 248, 172]
[2716, 704, 248, 174]
[2839, 704, 248, 174]
[2962, 704, 248, 174]
[3085, 706, 248, 174]
[3208, 706, 248, 174]
[3331, 708, 248, 172]
[379, 913, 248, 178]
[502, 913, 248, 178]
[625, 915, 248, 178]
[748, 915, 248, 178]
[871, 917, 248, 176]
[994, 917, 248, 176]
[1117, 919, 248, 174]
[1240, 919, 248, 174]
[1363, 919, 248, 176]
[1486, 921, 248, 174]
[1609, 921, 248, 174]
[1732, 921, 248, 174]
[1855, 923, 248, 172]
[1978, 923, 248, 172]
[2101, 923, 248, 172]
[2224, 923, 248, 174]
[2347, 925, 248, 172]
[2470, 925, 248, 172]
[2593, 928, 248, 169]
[2716, 928, 248, 172]
[2839, 928, 248, 172]
[2962, 928, 248, 172]
[3085, 930, 248, 170]
[3208, 930, 248, 172]
[3331, 930, 248, 172]
[379, 1145, 248, 181]
[502, 1147, 248, 179]
[625, 1147, 248, 179]
[748, 1147, 248, 179]
[871, 1147, 248, 179]
[994, 1147, 248, 179]
[1117, 1147, 248, 179]
[1240, 1147, 248, 176]
[1363, 1147, 248, 176]
[1486, 1147, 248, 176]
[1609, 1147, 248, 176]
[1732, 1147, 248, 176]
[1855, 1147, 248, 176]
[1978, 1147, 248, 176]
[2101, 1147, 248, 176]
[2224, 1147, 248, 176]
[2347, 1147, 248, 176]
[2470, 1149, 248, 174]
[2593, 1149, 248, 174]
[2716, 1149, 248, 174]
[2839, 1149, 248, 174]
[2962, 1149, 248, 174]
[3085, 1149, 248, 174]
[3208, 1149, 248, 174]
[3331, 1149, 248, 174]
[379, 1375, 248, 185]
[502, 1380, 248, 180]
[625, 1382, 248, 178]
[748, 1382, 248, 178]
[871, 1382, 248, 178]
[994, 1382, 248, 178]
[1117, 1382, 248, 176]
[1240, 1382, 248, 176]
[1363, 1380, 248, 178]
[1486, 1380, 248, 176]
[1609, 1380, 248, 176]
[1732, 1380, 248, 174]
[1855, 1377, 248, 177]
[1978, 1377, 248, 177]
[2101, 1377, 248, 177]
[2224, 1377, 248, 174]
[2347, 1377, 248, 174]
[2470, 1377, 248, 174]
[2593, 1375, 248, 174]
[2716, 1375, 248, 174]
[2839, 1375, 248, 174]
[2962, 1373, 248, 174]
[3085, 1373, 248, 174]
[3208, 1373, 248, 172]
[3331, 1373, 248, 172]
[379, 1608, 248, 182]
[502, 1614, 248, 176]
[625, 1614, 248, 174]
[748, 1612, 248, 174]
[871, 1610, 248, 174]
[994, 1610, 248, 174]
[1117, 1610, 248, 172]
[1240, 1610, 248, 172]
[1363, 1608, 248, 172]
[1486, 1606, 248, 171]
[1609, 1606, 248, 171]
[1732, 1606, 248, 169]
[1855, 1603, 248, 172]
[1978, 1603, 248, 170]
[2101, 1601, 248, 172]
[2224, 1601, 248, 170]
[2347, 1601, 248, 170]
[2470, 1599, 248, 172]
[2593, 1599, 248, 170]
[2716, 1597, 248, 172]
[2839, 1597, 248, 172]
[2962, 1595, 248, 172]
[3085, 1595, 248, 172]
[3208, 1595, 248, 172]
[3331, 1593, 248, 174]
[379, 1866, 248, 161]
[502, 1877, 248, 178]
[625, 1875, 248, 180]
[748, 1872, 248, 181]
[871, 1870, 248, 179]
[994, 1868, 248, 178]
[1117, 1864, 248, 178]
[1240, 1862, 248, 178]
[1363, 1862, 248, 176]
[1486, 1859, 248, 179]
[1609, 1857, 248, 181]
[1732, 1857, 248, 181]
[1855, 1857, 248, 181]
[1978, 1855, 248, 181]
[2101, 1853, 248, 183]
[2224, 1853, 248, 181]
[2347, 1851, 248, 180]
[2470, 1851, 248, 178]
[2593, 1849, 248, 180]
[2716, 1849, 248, 178]
[2839, 1849, 248, 178]
[2962, 1849, 248, 178]
[3085, 1849, 248, 176]
[3208, 1847, 248, 176]
[3331, 1844, 248, 177]
