['x1', 'y2', 'w', 'h']
[291, 240, 233, 177]
[407, 240, 233, 174]
[523, 240, 233, 175]
[639, 241, 233, 174]
[755, 241, 233, 176]
[871, 243, 233, 175]
[987, 243, 233, 176]
[1103, 245, 233, 174]
[1219, 245, 233, 177]
[1335, 246, 233, 176]
[1451, 248, 233, 175]
[1567, 249, 233, 175]
[1683, 250, 233, 174]
[1799, 250, 233, 176]
[1915, 253, 233, 174]
[2031, 254, 233, 174]
[2147, 255, 233, 174]
[2263, 257, 233, 174]
[2379, 259, 233, 173]
[2495, 259, 233, 173]
[2611, 263, 233, 169]
[2727, 264, 233, 169]
[2843, 265, 233, 168]
[2959, 267, 233, 166]
[3075, 267, 233, 167]
[3191, 267, 233, 169]
[3307, 267, 233, 170]
[3423, 268, 233, 170]
[291, 466, 233, 175]
[407, 466, 233, 175]
[523, 467, 233, 174]
[639, 467, 233, 175]
[755, 468, 233, 174]
[871, 470, 233, 174]
[987, 470, 233, 174]
[1103, 471, 233, 173]
[1219, 472, 233, 172]
[1335, 472, 233, 173]
[1451, 472, 233, 173]
[1567, 473, 233, 172]
[1683, 475, 233, 170]
[1799, 475, 233, 170]
[1915, 475, 233, 171]
[2031, 476, 233, 170]
[2147, 476, 233, 172]
[2263, 477, 233, 171]
[2379, 477, 233, 171]
[2495, 478, 233, 171]
[2611, 478, 233, 171]
[2727, 480, 233, 170]
[2843, 480, 233, 170]
[2959, 481, 233, 169]
[3075, 482, 233, 168]
[3191, 482, 233, 169]
[3307, 482, 233, 169]
[3423, 482, 233, 169]
[291, 693, 233, 176]
[407, 694, 233, 177]
[523, 694, 233, 177]
[639, 695, 233, 176]
[755, 695, 233, 176]
[871, 695, 233, 176]
[987, 695, 233, 177]
[1103, 695, 233, 177]
[1219, 695, 233, 176]
[1335, 695, 233, 176]
[1451, 695, 233, 176]
[1567, 697, 233, 174]
[1683, 697, 233, 174]
[1799, 697, 233, 174]
[1915, 697, 233, 174]
[2031, 697, 233, 172]
[2147, 697, 233, 172]
[2263, 697, 233, 172]
[2379, 697, 233, 172]
[2495, 698, 233, 171]
[2611, 698, 233, 171]
[2727, 698, 233, 171]
[2843, 698, 233, 171]
[2959, 698, 233, 170]
[3075, 698, 233, 170]
[3191, 698, 233, 170]
[3307, 698, 233, 170]
[3423, 698, 233, 170]
[291, 918, 233, 178]
[407, 921, 233, 175]
[523, 921, 233, 175]
[639, 921, 233, 174]
[755, 920, 233, 174]
[871, 920, 233, 174]
[987, 920, 233, 173]
[1103, 920, 233, 171]
[1219, 918, 233, 172]
[1335, 918, 233, 171]
[1451, 917, 233, 172]
[1567, 917, 233, 171]
[1683, 917, 233, 171]
[1799, 917, 233, 169]
[1915, 917, 233, 169]
[2031, 917, 233, 169]
[2147, 917, 233, 168]
[2263, 917, 233, 168]
[2379, 917, 233, 167]
[2495, 916, 233, 168]
[2611, 916, 233, 168]
[2727, 916, 233, 168]
[2843, 915, 233, 169]
[2959, 915, 233, 169]
[3075, 915, 233, 169]
[3191, 915, 233, 169]
[3307, 915, 233, 169]
[3423, 915, 233, 169]
