['x1', 'y2', 'w', 'h']
[769, 223, 271, 175]
[904, 221, 271, 177]
[1039, 221, 271, 177]
[1174, 221, 271, 177]
[1309, 221, 271, 177]
[1444, 220, 271, 178]
[1579, 220, 271, 178]
[1714, 216, 271, 181]
[1849, 214, 271, 181]
[1984, 213, 271, 180]
[2119, 211, 271, 180]
[2254, 209, 271, 181]
[2389, 209, 271, 179]
[2524, 209, 271, 181]
[2659, 211, 271, 182]
[2794, 213, 271, 185]
[2929, 218, 271, 189]
[3064, 225, 271, 199]
[769, 454, 271, 177]
[904, 454, 271, 177]
[1039, 454, 271, 177]
[1174, 454, 271, 177]
[1309, 452, 271, 177]
[1444, 452, 271, 177]
[1579, 450, 271, 177]
[1714, 448, 271, 179]
[1849, 447, 271, 180]
[1984, 445, 271, 180]
[2119, 445, 271, 179]
[2254, 443, 271, 181]
[2389, 443, 271, 181]
[2524, 443, 271, 181]
[2659, 445, 271, 182]
[2794, 447, 271, 184]
[2929, 448, 271, 188]
[3064, 454, 271, 190]
[769, 684, 271, 175]
[904, 684, 271, 175]
[1039, 682, 271, 177]
[1174, 682, 271, 177]
[1309, 682, 271, 177]
[1444, 682, 271, 177]
[1579, 681, 271, 178]
[1714, 681, 271, 178]
[1849, 681, 271, 178]
[1984, 681, 271, 178]
[2119, 681, 271, 178]
[2254, 681, 271, 178]
[2389, 681, 271, 178]
[2524, 681, 271, 180]
[2659, 681, 271, 180]
[2794, 682, 271, 181]
[2929, 684, 271, 181]
[3064, 686, 271, 180]
[769, 911, 271, 176]
[904, 911, 271, 176]
[1039, 913, 271, 174]
[1174, 913, 271, 175]
[1309, 913, 271, 177]
[1444, 915, 271, 177]
[1579, 915, 271, 177]
[1714, 917, 271, 175]
[1849, 917, 271, 177]
[1984, 917, 271, 177]
[2119, 917, 271, 178]
[2254, 917, 271, 178]
[2389, 918, 271, 179]
[2524, 918, 271, 179]
[2659, 918, 271, 177]
[2794, 918, 271, 177]
[2929, 918, 271, 177]
[3064, 918, 271, 176]
[769, 1137, 271, 179]
[904, 1139, 271, 178]
[1039, 1140, 271, 179]
[1174, 1140, 271, 181]
[1309, 1142, 271, 180]
[1444, 1144, 271, 180]
[1579, 1145, 271, 181]
[1714, 1147, 271, 181]
[1849, 1147, 271, 182]
[1984, 1149, 271, 182]
[2119, 1151, 271, 182]
[2254, 1152, 271, 181]
[2389, 1152, 271, 181]
[2524, 1152, 271, 181]
[2659, 1152, 271, 181]
[2794, 1149, 271, 182]
[2929, 1145, 271, 184]
[3064, 1139, 271, 187]
[769, 1371, 271, 182]
[904, 1373, 271, 180]
[1039, 1373, 271, 183]
[1174, 1374, 271, 182]
[1309, 1374, 271, 184]
[1444, 1376, 271, 184]
[1579, 1378, 271, 182]
[1714, 1381, 271, 181]
[1849, 1383, 271, 182]
[1984, 1385, 271, 182]
[2119, 1386, 271, 183]
[2254, 1388, 271, 182]
[2389, 1390, 271, 180]
[2524, 1388, 271, 182]
[2659, 1385, 271, 184]
[2794, 1381, 271, 186]
[2929, 1373, 271, 190]
[3064, 1357, 271, 199]
