['x1', 'y2', 'w', 'h']
[550, 207, 312, 183]
[705, 207, 312, 183]
[860, 207, 312, 183]
[1015, 206, 312, 184]
[1170, 206, 312, 184]
[1325, 206, 312, 186]
[1480, 206, 312, 186]
[1635, 206, 312, 184]
[1790, 204, 312, 186]
[1945, 204, 312, 186]
[2100, 203, 312, 186]
[2255, 201, 312, 188]
[2410, 201, 312, 186]
[2565, 201, 312, 186]
[2720, 203, 312, 187]
[2875, 204, 312, 188]
[3030, 207, 312, 191]
[3185, 211, 312, 193]
[3340, 217, 312, 199]
[550, 451, 312, 183]
[705, 451, 312, 184]
[860, 451, 312, 184]
[1015, 451, 312, 184]
[1170, 451, 312, 184]
[1325, 451, 312, 184]
[1480, 453, 312, 182]
[1635, 451, 312, 184]
[1790, 451, 312, 184]
[1945, 450, 312, 185]
[2100, 450, 312, 185]
[2255, 450, 312, 185]
[2410, 450, 312, 185]
[2565, 450, 312, 185]
[2720, 450, 312, 187]
[2875, 451, 312, 187]
[3030, 453, 312, 188]
[3185, 456, 312, 190]
[3340, 459, 312, 192]
[550, 693, 312, 184]
[705, 693, 312, 184]
[860, 695, 312, 182]
[1015, 695, 312, 184]
[1170, 695, 312, 184]
[1325, 696, 312, 183]
[1480, 696, 312, 184]
[1635, 696, 312, 186]
[1790, 696, 312, 186]
[1945, 696, 312, 187]
[2100, 698, 312, 185]
[2255, 698, 312, 185]
[2410, 698, 312, 187]
[2565, 698, 312, 188]
[2720, 699, 312, 187]
[2875, 699, 312, 187]
[3030, 701, 312, 187]
[3185, 702, 312, 186]
[3340, 704, 312, 182]
[550, 932, 312, 183]
[705, 934, 312, 182]
[860, 935, 312, 183]
[1015, 937, 312, 182]
[1170, 938, 312, 183]
[1325, 940, 312, 182]
[1480, 940, 312, 185]
[1635, 941, 312, 184]
[1790, 943, 312, 186]
[1945, 944, 312, 186]
[2100, 946, 312, 186]
[2255, 946, 312, 187]
[2410, 948, 312, 185]
[2565, 949, 312, 186]
[2720, 949, 312, 186]
[2875, 951, 312, 184]
[3030, 949, 312, 186]
[3185, 948, 312, 185]
[3340, 943, 312, 187]
[550, 1171, 312, 184]
[705, 1171, 312, 187]
[860, 1174, 312, 187]
[1015, 1176, 312, 187]
[1170, 1177, 312, 189]
[1325, 1180, 312, 189]
[1480, 1183, 312, 188]
[1635, 1185, 312, 189]
[1790, 1188, 312, 189]
[1945, 1190, 312, 190]
[2100, 1191, 312, 190]
[2255, 1194, 312, 189]
[2410, 1196, 312, 188]
[2565, 1197, 312, 187]
[2720, 1197, 312, 187]
[2875, 1194, 312, 190]
[3030, 1191, 312, 190]
[3185, 1185, 312, 195]
[3340, 1174, 312, 200]
