['x1', 'y2', 'w', 'h']
[669, 187, 298, 187]
[817, 187, 298, 189]
[965, 186, 298, 190]
[1113, 186, 298, 188]
[1261, 186, 298, 188]
[1409, 186, 298, 188]
[1557, 184, 298, 189]
[1705, 182, 298, 191]
[1853, 180, 298, 191]
[2001, 179, 298, 190]
[2149, 179, 298, 188]
[2297, 177, 298, 190]
[2445, 177, 298, 189]
[2593, 177, 298, 189]
[2741, 179, 298, 190]
[2889, 180, 298, 196]
[3037, 186, 298, 197]
[3185, 193, 298, 206]
[669, 438, 298, 187]
[817, 438, 298, 187]
[965, 438, 298, 188]
[1113, 438, 298, 188]
[1261, 438, 298, 187]
[1409, 438, 298, 187]
[1557, 436, 298, 189]
[1705, 434, 298, 191]
[1853, 434, 298, 189]
[2001, 432, 298, 189]
[2149, 431, 298, 190]
[2297, 431, 298, 188]
[2445, 431, 298, 188]
[2593, 431, 298, 190]
[2741, 431, 298, 192]
[2889, 432, 298, 194]
[3037, 436, 298, 196]
[3185, 441, 298, 198]
[669, 688, 298, 185]
[817, 688, 298, 185]
[965, 688, 298, 185]
[1113, 688, 298, 185]
[1261, 688, 298, 187]
[1409, 688, 298, 187]
[1557, 688, 298, 187]
[1705, 686, 298, 189]
[1853, 686, 298, 191]
[2001, 686, 298, 191]
[2149, 686, 298, 191]
[2297, 686, 298, 191]
[2445, 686, 298, 189]
[2593, 686, 298, 191]
[2741, 686, 298, 191]
[2889, 688, 298, 191]
[3037, 690, 298, 190]
[3185, 692, 298, 190]
[669, 935, 298, 183]
[817, 935, 298, 185]
[965, 935, 298, 185]
[1113, 937, 298, 185]
[1261, 938, 298, 186]
[1409, 938, 298, 186]
[1557, 940, 298, 185]
[1705, 940, 298, 189]
[1853, 940, 298, 189]
[2001, 940, 298, 189]
[2149, 942, 298, 189]
[2297, 942, 298, 190]
[2445, 942, 298, 190]
[2593, 944, 298, 188]
[2741, 944, 298, 188]
[2889, 944, 298, 188]
[3037, 944, 298, 188]
[3185, 940, 298, 189]
[669, 1178, 298, 187]
[817, 1178, 298, 191]
[965, 1182, 298, 189]
[1113, 1182, 298, 190]
[1261, 1185, 298, 189]
[1409, 1185, 298, 193]
[1557, 1189, 298, 190]
[1705, 1189, 298, 192]
[1853, 1192, 298, 191]
[2001, 1192, 298, 193]
[2149, 1194, 298, 192]
[2297, 1196, 298, 192]
[2445, 1198, 298, 190]
[2593, 1198, 298, 190]
[2741, 1196, 298, 192]
[2889, 1194, 298, 192]
[3037, 1189, 298, 196]
[3185, 1180, 298, 199]
[669, 1429, 298, 192]
[817, 1431, 298, 192]
[965, 1432, 298, 192]
[1113, 1434, 298, 190]
[1261, 1436, 298, 192]
[1409, 1439, 298, 191]
[1557, 1441, 298, 190]
[1705, 1444, 298, 191]
[1853, 1446, 298, 192]
[2001, 1448, 298, 194]
[2149, 1451, 298, 193]
[2297, 1453, 298, 191]
[2445, 1455, 298, 189]
[2593, 1453, 298, 191]
[2741, 1450, 298, 194]
[2889, 1444, 298, 196]
[3037, 1436, 298, 201]
[3185, 1418, 298, 212]
