['x1', 'y2', 'w', 'h']
[366, 263, 278, 168]
[504, 264, 278, 167]
[642, 264, 278, 167]
[780, 264, 278, 168]
[918, 264, 278, 168]
[1056, 264, 278, 168]
[1194, 265, 278, 167]
[1332, 265, 278, 167]
[1470, 265, 278, 167]
[1608, 265, 278, 167]
[1746, 265, 278, 167]
[1884, 265, 278, 167]
[2022, 265, 278, 169]
[2160, 265, 278, 169]
[2298, 265, 278, 169]
[2436, 265, 278, 170]
[2574, 265, 278, 170]
[2712, 267, 278, 169]
[2850, 268, 278, 171]
[2988, 269, 278, 171]
[3126, 270, 278, 172]
[3264, 273, 278, 173]
[3402, 277, 278, 175]
[366, 477, 278, 330]
[504, 477, 278, 356]
[642, 477, 278, 383]
[780, 478, 278, 383]
[918, 478, 278, 383]
[1056, 478, 278, 384]
[1194, 479, 278, 383]
[1332, 480, 278, 384]
[1470, 480, 278, 386]
[1608, 480, 278, 386]
[1746, 480, 278, 387]
[1884, 480, 278, 389]
[2022, 482, 278, 388]
[2160, 482, 278, 389]
[2298, 482, 278, 390]
[2436, 482, 278, 390]
[2574, 483, 278, 391]
[2712, 483, 278, 391]
[2850, 483, 278, 391]
[2988, 483, 278, 391]
[3126, 487, 278, 387]
[3264, 487, 278, 387]
[3402, 489, 278, 382]
[366, 900, 278, 166]
[504, 900, 278, 167]
[642, 902, 278, 168]
[780, 903, 278, 169]
[918, 904, 278, 171]
[1056, 905, 278, 171]
[1194, 908, 278, 171]
[1332, 909, 278, 171]
[1470, 910, 278, 171]
[1608, 912, 278, 172]
[1746, 913, 278, 172]
[1884, 914, 278, 172]
[2022, 917, 278, 172]
[2160, 917, 278, 173]
[2298, 919, 278, 172]
[2436, 921, 278, 170]
[2574, 922, 278, 170]
[2712, 923, 278, 169]
[2850, 923, 278, 169]
[2988, 921, 278, 171]
[3126, 918, 278, 172]
[3264, 915, 278, 174]
[3402, 910, 278, 176]
