['x1', 'y2', 'w', 'h']
[532, 208, 287, 183]
[675, 208, 287, 181]
[818, 207, 287, 184]
[961, 207, 287, 184]
[1104, 207, 287, 184]
[1247, 207, 287, 184]
[1390, 207, 287, 185]
[1533, 207, 287, 185]
[1676, 205, 287, 186]
[1819, 205, 287, 184]
[1962, 204, 287, 185]
[2105, 202, 287, 187]
[2248, 202, 287, 186]
[2391, 202, 287, 186]
[2534, 202, 287, 184]
[2677, 202, 287, 186]
[2820, 205, 287, 186]
[2963, 207, 287, 188]
[3106, 210, 287, 190]
[3249, 214, 287, 193]
[3392, 220, 287, 201]
[532, 451, 287, 182]
[675, 451, 287, 184]
[818, 451, 287, 184]
[961, 452, 287, 183]
[1104, 452, 287, 183]
[1247, 452, 287, 183]
[1390, 452, 287, 183]
[1533, 452, 287, 183]
[1676, 451, 287, 184]
[1819, 451, 287, 184]
[1962, 451, 287, 184]
[2105, 451, 287, 184]
[2248, 449, 287, 186]
[2391, 449, 287, 186]
[2534, 449, 287, 186]
[2677, 449, 287, 187]
[2820, 449, 287, 189]
[2963, 452, 287, 189]
[3106, 454, 287, 188]
[3249, 458, 287, 190]
[3392, 461, 287, 192]
[532, 693, 287, 184]
[675, 693, 287, 184]
[818, 695, 287, 182]
[961, 695, 287, 182]
[1104, 695, 287, 184]
[1247, 695, 287, 184]
[1390, 696, 287, 184]
[1533, 696, 287, 186]
[1676, 696, 287, 186]
[1819, 696, 287, 186]
[1962, 696, 287, 187]
[2105, 698, 287, 185]
[2248, 698, 287, 185]
[2391, 698, 287, 187]
[2534, 699, 287, 187]
[2677, 699, 287, 187]
[2820, 699, 287, 187]
[2963, 701, 287, 187]
[3106, 702, 287, 186]
[3249, 702, 287, 186]
[3392, 704, 287, 184]
[532, 931, 287, 183]
[675, 933, 287, 182]
[818, 936, 287, 181]
[961, 936, 287, 182]
[1104, 937, 287, 183]
[1247, 939, 287, 182]
[1390, 940, 287, 184]
[1533, 942, 287, 182]
[1676, 942, 287, 185]
[1819, 943, 287, 184]
[1962, 945, 287, 185]
[2105, 946, 287, 184]
[2248, 946, 287, 187]
[2391, 948, 287, 185]
[2534, 949, 287, 186]
[2677, 949, 287, 186]
[2820, 949, 287, 186]
[2963, 949, 287, 186]
[3106, 948, 287, 185]
[3249, 946, 287, 184]
[3392, 942, 287, 187]
[532, 1171, 287, 184]
[675, 1171, 287, 187]
[818, 1174, 287, 187]
[961, 1175, 287, 187]
[1104, 1177, 287, 188]
[1247, 1180, 287, 187]
[1390, 1183, 287, 187]
[1533, 1184, 287, 189]
[1676, 1186, 287, 188]
[1819, 1187, 287, 190]
[1962, 1190, 287, 189]
[2105, 1192, 287, 190]
[2248, 1195, 287, 187]
[2391, 1195, 287, 188]
[2534, 1198, 287, 185]
[2677, 1198, 287, 185]
[2820, 1196, 287, 187]
[2963, 1193, 287, 190]
[3106, 1189, 287, 191]
[3249, 1181, 287, 195]
[3392, 1174, 287, 197]
