['x', 'y', 'a', 'b']
[541, 264, 1329, 431]
[935, 265, 1723, 431]
[1329, 265, 2117, 433]
[1723, 265, 2511, 434]
[2117, 265, 2905, 438]
[2511, 267, 3299, 446]
[2905, 272, 3693, 454]
[541, 478, 1329, 649]
[935, 479, 1723, 649]
[1329, 480, 2117, 650]
[1723, 482, 2511, 653]
[2117, 482, 2905, 654]
[2511, 483, 3299, 656]
[2905, 487, 3693, 659]
[541, 692, 1329, 863]
[935, 694, 1723, 866]
[1329, 697, 2117, 869]
[1723, 698, 2511, 871]
[2117, 700, 2905, 873]
[2511, 703, 3299, 873]
[2905, 702, 3693, 873]
[541, 904, 1329, 1079]
[935, 908, 1723, 1084]
[1329, 912, 2117, 1088]
[1723, 917, 2511, 1091]
[2117, 919, 2905, 1091]
[2511, 914, 3299, 1091]
[2905, 909, 3693, 1089]
