['x', 'y', 'a', 'b']
[406, 233, 654.5, 383]
[654.5, 233, 903, 383]
[654, 233, 902.5, 384]
[902.5, 233, 1151, 384]
[902, 234, 1150.5, 384]
[1150.5, 234, 1399, 384]
[1150, 234, 1398.5, 385]
[1398.5, 234, 1647, 385]
[1398, 235, 1646.5, 385]
[1646.5, 235, 1895, 385]
[1646, 235, 1894.5, 386]
[1894.5, 235, 2143, 386]
[1894, 236, 2142.5, 387]
[2142.5, 236, 2391, 387]
[2142, 237, 2390.5, 387]
[2390.5, 237, 2639, 387]
[2390, 237, 2638.5, 388]
[2638.5, 237, 2887, 388]
[2638, 238, 2886.5, 389]
[2886.5, 238, 3135, 389]
[2886, 239, 3134.5, 392]
[3134.5, 239, 3383, 392]
[3134, 241, 3382.5, 392]
[3382.5, 241, 3631, 392]
[406, 467, 654.5, 619]
[654.5, 467, 903, 619]
[654, 467, 902.5, 619]
[902.5, 467, 1151, 619]
[902, 468, 1150.5, 620]
[1150.5, 468, 1399, 620]
[1150, 468, 1398.5, 620]
[1398.5, 468, 1647, 620]
[1398, 469, 1646.5, 622]
[1646.5, 469, 1895, 622]
[1646, 470, 1894.5, 622]
[1894.5, 470, 2143, 622]
[1894, 470, 2142.5, 622]
[2142.5, 470, 2391, 622]
[2142, 471, 2390.5, 623]
[2390.5, 471, 2639, 623]
[2390, 472, 2638.5, 624]
[2638.5, 472, 2887, 624]
[2638, 472, 2886.5, 625]
[2886.5, 472, 3135, 625]
[2886, 473, 3134.5, 627]
[3134.5, 473, 3383, 627]
[3134, 474, 3382.5, 627]
[3382.5, 474, 3631, 627]
[406, 703, 654.5, 855]
[654.5, 703, 903, 855]
[654, 703, 902.5, 856]
[902.5, 703, 1151, 856]
[902, 704, 1150.5, 857]
[1150.5, 704, 1399, 857]
[1150, 704, 1398.5, 857]
[1398.5, 704, 1647, 857]
[1398, 705, 1646.5, 858]
[1646.5, 705, 1895, 858]
[1646, 705, 1894.5, 860]
[1894.5, 705, 2143, 860]
[1894, 707, 2142.5, 860]
[2142.5, 707, 2391, 860]
[2142, 708, 2390.5, 860]
[2390.5, 708, 2639, 860]
[2390, 708, 2638.5, 861]
[2638.5, 708, 2887, 861]
[2638, 709, 2886.5, 862]
[2886.5, 709, 3135, 862]
[2886, 709, 3134.5, 863]
[3134.5, 709, 3383, 863]
[3134, 710, 3382.5, 863]
[3382.5, 710, 3631, 863]
[406, 938, 654.5, 1089]
[654.5, 938, 903, 1089]
[654, 939, 902.5, 1090]
[902.5, 939, 1151, 1090]
[902, 940, 1150.5, 1091]
[1150.5, 940, 1399, 1091]
[1150, 941, 1398.5, 1091]
[1398.5, 941, 1647, 1091]
[1398, 942, 1646.5, 1091]
[1646.5, 942, 1895, 1091]
[1646, 942, 1894.5, 1093]
[1894.5, 942, 2143, 1093]
[1894, 942, 2142.5, 1094]
[2142.5, 942, 2391, 1094]
[2142, 943, 2390.5, 1094]
[2390.5, 943, 2639, 1094]
[2390, 944, 2638.5, 1095]
[2638.5, 944, 2887, 1095]
[2638, 945, 2886.5, 1096]
[2886.5, 945, 3135, 1096]
[2886, 946, 3134.5, 1097]
[3134.5, 946, 3383, 1097]
[3134, 946, 3382.5, 1097]
[3382.5, 946, 3631, 1097]
[406, 1171, 654.5, 1323]
[654.5, 1171, 903, 1323]
[654, 1172, 902.5, 1324]
[902.5, 1172, 1151, 1324]
[902, 1173, 1150.5, 1325]
[1150.5, 1173, 1399, 1325]
[1150, 1173, 1398.5, 1326]
[1398.5, 1173, 1647, 1326]
[1398, 1174, 1646.5, 1326]
[1646.5, 1174, 1895, 1326]
[1646, 1175, 1894.5, 1327]
[1894.5, 1175, 2143, 1327]
[1894, 1176, 2142.5, 1328]
[2142.5, 1176, 2391, 1328]
[2142, 1177, 2390.5, 1329]
[2390.5, 1177, 2639, 1329]
[2390, 1178, 2638.5, 1330]
[2638.5, 1178, 2887, 1330]
