['x', 'y', 'a', 'b']
[406, 224, 944, 374]
[675, 223, 1213, 374]
[944, 223, 1482, 375]
[1213, 223, 1751, 375]
[1482, 223, 2020, 373]
[1751, 222, 2289, 372]
[2020, 222, 2558, 372]
[2289, 221, 2827, 372]
[2558, 221, 3096, 372]
[2827, 221, 3365, 372]
[3096, 221, 3634, 371]
[406, 458, 944, 610]
[675, 458, 1213, 609]
[944, 457, 1482, 609]
[1213, 457, 1751, 609]
[1482, 457, 2020, 608]
[1751, 456, 2289, 608]
[2020, 456, 2558, 608]
[2289, 456, 2827, 607]
[2558, 456, 3096, 607]
[2827, 456, 3365, 607]
[3096, 456, 3634, 607]
[406, 694, 944, 846]
[675, 694, 1213, 846]
[944, 693, 1482, 846]
[1213, 693, 1751, 845]
[1482, 693, 2020, 845]
[1751, 692, 2289, 845]
[2020, 692, 2558, 844]
[2289, 692, 2827, 844]
[2558, 692, 3096, 844]
[2827, 692, 3365, 844]
[3096, 692, 3634, 844]
[406, 930, 944, 1080]
[675, 930, 1213, 1080]
[944, 930, 1482, 1080]
[1213, 929, 1751, 1080]
[1482, 929, 2020, 1079]
[1751, 929, 2289, 1079]
[2020, 929, 2558, 1079]
[2289, 929, 2827, 1078]
[2558, 928, 3096, 1078]
[2827, 928, 3365, 1078]
[3096, 928, 3634, 1078]
[406, 1164, 944, 1316]
[675, 1164, 1213, 1315]
[944, 1164, 1482, 1315]
[1213, 1163, 1751, 1314]
[1482, 1163, 2020, 1314]
[1751, 1163, 2289, 1314]
[2020, 1162, 2558, 1313]
[2289, 1162, 2827, 1313]
[2558, 1162, 3096, 1313]
[2827, 1162, 3365, 1313]
[3096, 1162, 3634, 1313]
