['x', 'y', 'a', 'b']
[313, 252, 883, 406]
[598, 254, 1168, 409]
[883, 259, 1453, 409]
[1168, 259, 1738, 413]
[1453, 261, 2023, 419]
[1738, 267, 2308, 421]
[2023, 271, 2593, 421]
[2308, 272, 2878, 424]
[2593, 276, 3163, 431]
[2878, 282, 3448, 436]
[3163, 289, 3733, 436]
[313, 483, 883, 638]
[598, 487, 1168, 640]
[883, 490, 1453, 640]
[1168, 490, 1738, 642]
[1453, 490, 2023, 645]
[1738, 493, 2308, 648]
[2023, 498, 2593, 650]
[2308, 502, 2878, 650]
[2593, 502, 3163, 652]
[2878, 502, 3448, 654]
[3163, 507, 3733, 654]
[313, 719, 883, 873]
[598, 719, 1168, 873]
[883, 721, 1453, 873]
[1168, 723, 1738, 873]
[1453, 723, 2023, 873]
[1738, 724, 2308, 874]
[2023, 724, 2593, 874]
[2308, 726, 2878, 874]
[2593, 729, 3163, 874]
[2878, 729, 3448, 876]
[3163, 729, 3733, 876]
[313, 954, 883, 1105]
[598, 954, 1168, 1102]
[883, 954, 1453, 1102]
[1168, 954, 1738, 1100]
[1453, 952, 2023, 1100]
[1738, 952, 2308, 1099]
[2023, 952, 2593, 1099]
[2308, 952, 2878, 1099]
[2593, 952, 3163, 1097]
[2878, 952, 3448, 1097]
[3163, 954, 3733, 1097]
[313, 1184, 883, 1340]
[598, 1184, 1168, 1336]
[883, 1183, 1453, 1333]
[1168, 1181, 1738, 1331]
[1453, 1179, 2023, 1330]
[1738, 1178, 2308, 1326]
[2023, 1176, 2593, 1325]
[2308, 1174, 2878, 1325]
[2593, 1174, 3163, 1321]
[2878, 1173, 3448, 1321]
[3163, 1173, 3733, 1320]
[313, 1419, 883, 1576]
[598, 1417, 1168, 1576]
[883, 1414, 1453, 1572]
[1168, 1412, 1738, 1569]
[1453, 1410, 2023, 1566]
[1738, 1409, 2308, 1562]
[2023, 1405, 2593, 1559]
[2308, 1404, 2878, 1555]
[2593, 1399, 3163, 1554]
[2878, 1395, 3448, 1549]
[3163, 1395, 3733, 1544]
