['x', 'y', 'a', 'b']
[382, 145, 904, 307]
[643, 145, 1165, 309]
[904, 145, 1426, 309]
[1165, 145, 1687, 307]
[1426, 145, 1948, 307]
[1687, 145, 2209, 307]
[1948, 145, 2470, 309]
[2209, 145, 2731, 313]
[2470, 148, 2992, 321]
[2731, 152, 3253, 340]
[2992, 164, 3514, 357]
[382, 401, 904, 565]
[643, 401, 1165, 565]
[904, 401, 1426, 567]
[1165, 401, 1687, 567]
[1426, 401, 1948, 567]
[1687, 401, 2209, 567]
[1948, 402, 2470, 568]
[2209, 402, 2731, 572]
[2470, 406, 2992, 577]
[2731, 409, 3253, 589]
[2992, 416, 3514, 599]
[382, 658, 904, 822]
[643, 658, 1165, 824]
[904, 660, 1426, 826]
[1165, 661, 1687, 827]
[1426, 661, 1948, 827]
[1687, 663, 2209, 829]
[1948, 663, 2470, 831]
[2209, 663, 2731, 833]
[2470, 665, 2992, 834]
[2731, 668, 3253, 838]
[2992, 673, 3514, 841]
[382, 912, 904, 1076]
[643, 914, 1165, 1078]
[904, 915, 1426, 1080]
[1165, 917, 1687, 1081]
[1426, 921, 1948, 1085]
[1687, 922, 2209, 1088]
[1948, 924, 2470, 1090]
[2209, 926, 2731, 1092]
[2470, 927, 2992, 1092]
[2731, 929, 3253, 1092]
[2992, 929, 3514, 1090]
[382, 1163, 904, 1329]
[643, 1164, 1165, 1332]
[904, 1169, 1426, 1339]
[1165, 1173, 1687, 1342]
[1426, 1176, 1948, 1346]
[1687, 1180, 2209, 1349]
[1948, 1183, 2470, 1351]
[2209, 1185, 2731, 1351]
[2470, 1183, 2992, 1351]
[2731, 1176, 3253, 1351]
[2992, 1171, 3514, 1346]
[382, 1410, 904, 1581]
[643, 1417, 1165, 1588]
[904, 1422, 1426, 1593]
[1165, 1425, 1687, 1600]
[1426, 1430, 1948, 1605]
[1687, 1435, 2209, 1610]
[1948, 1440, 2470, 1613]
[2209, 1446, 2731, 1613]
[2470, 1440, 2992, 1613]
[2731, 1425, 3253, 1610]
[2992, 1413, 3514, 1603]
