['x1', 'y1', 'x2', 'y2']
[545, 172, 966, 358]
[755, 170, 1176, 358]
[965, 170, 1386, 358]
[1175, 170, 1596, 356]
[1385, 169, 1806, 356]
[1595, 169, 2016, 356]
[1805, 167, 2226, 354]
[2015, 165, 2436, 353]
[2225, 165, 2646, 353]
[2435, 165, 2856, 351]
[2645, 165, 3066, 354]
[2855, 165, 3276, 356]
[3065, 167, 3486, 363]
[3275, 172, 3696, 375]
[545, 425, 966, 613]
[755, 425, 1176, 611]
[965, 424, 1386, 611]
[1175, 422, 1596, 611]
[1385, 422, 1806, 611]
[1595, 422, 2016, 611]
[1805, 420, 2226, 611]
[2015, 419, 2436, 611]
[2225, 419, 2646, 610]
[2435, 419, 2856, 608]
[2645, 420, 3066, 610]
[2855, 420, 3276, 611]
[3065, 420, 3486, 615]
[3275, 424, 3696, 623]
[545, 679, 966, 866]
[755, 679, 1176, 866]
[965, 679, 1386, 866]
[1175, 679, 1596, 866]
[1385, 679, 1806, 866]
[1595, 679, 2016, 866]
[1805, 679, 2226, 866]
[2015, 679, 2436, 868]
[2225, 677, 2646, 868]
[2435, 677, 2856, 868]
[2645, 677, 3066, 868]
[2855, 677, 3276, 868]
[3065, 679, 3486, 868]
[3275, 681, 3696, 872]
[545, 931, 966, 1115]
[755, 931, 1176, 1115]
[965, 931, 1386, 1116]
[1175, 932, 1596, 1118]
[1385, 932, 1806, 1120]
[1595, 932, 2016, 1120]
[1805, 934, 2226, 1122]
[2015, 934, 2436, 1123]
[2225, 936, 2646, 1123]
[2435, 936, 2856, 1125]
[2645, 938, 3066, 1125]
[2855, 938, 3276, 1125]
[3065, 936, 3486, 1125]
[3275, 936, 3696, 1123]
[545, 1176, 966, 1361]
[755, 1177, 1176, 1365]
[965, 1179, 1386, 1368]
[1175, 1181, 1596, 1372]
[1385, 1184, 1806, 1373]
[1595, 1186, 2016, 1377]
[1805, 1188, 2226, 1378]
[2015, 1189, 2436, 1382]
[2225, 1191, 2646, 1384]
[2435, 1193, 2856, 1384]
[2645, 1194, 3066, 1384]
[2855, 1193, 3276, 1384]
[3065, 1189, 3486, 1384]
[3275, 1181, 3696, 1380]
