['x1', 'y1', 'x2', 'y2']
[399, 229, 664, 406]
[531, 230, 796, 406]
[663, 231, 928, 407]
[795, 231, 1060, 408]
[927, 232, 1192, 408]
[1059, 232, 1324, 409]
[1191, 233, 1456, 410]
[1323, 234, 1588, 410]
[1455, 235, 1720, 411]
[1587, 235, 1852, 412]
[1719, 235, 1984, 412]
[1851, 236, 2116, 414]
[1983, 237, 2248, 414]
[2115, 238, 2380, 414]
[2247, 238, 2512, 415]
[2379, 239, 2644, 415]
[2511, 239, 2776, 416]
[2643, 240, 2908, 417]
[2775, 241, 3040, 418]
[2907, 242, 3172, 418]
[3039, 242, 3304, 419]
[3171, 243, 3436, 420]
[3303, 244, 3568, 422]
[399, 463, 664, 641]
[531, 464, 796, 642]
[663, 464, 928, 643]
[795, 465, 1060, 643]
[927, 466, 1192, 644]
[1059, 467, 1324, 645]
[1191, 467, 1456, 646]
[1323, 468, 1588, 647]
[1455, 468, 1720, 647]
[1587, 469, 1852, 647]
[1719, 470, 1984, 648]
[1851, 470, 2116, 649]
[1983, 471, 2248, 649]
[2115, 472, 2380, 650]
[2247, 472, 2512, 651]
[2379, 473, 2644, 651]
[2511, 473, 2776, 652]
[2643, 473, 2908, 653]
[2775, 473, 3040, 654]
[2907, 476, 3172, 654]
[3039, 477, 3304, 655]
[3171, 477, 3436, 656]
[3303, 478, 3568, 657]
[399, 699, 664, 878]
[531, 699, 796, 879]
[663, 700, 928, 879]
[795, 701, 1060, 881]
[927, 702, 1192, 881]
[1059, 702, 1324, 881]
[1191, 703, 1456, 882]
[1323, 703, 1588, 882]
[1455, 705, 1720, 883]
[1587, 705, 1852, 884]
[1719, 706, 1984, 884]
[1851, 706, 2116, 886]
[1983, 707, 2248, 886]
[2115, 708, 2380, 886]
[2247, 708, 2512, 887]
[2379, 709, 2644, 888]
[2511, 710, 2776, 889]
[2643, 710, 2908, 889]
[2775, 711, 3040, 890]
[2907, 712, 3172, 891]
[3039, 712, 3304, 891]
[3171, 713, 3436, 892]
[3303, 714, 3568, 893]
[399, 935, 664, 1112]
[531, 936, 796, 1112]
[663, 936, 928, 1113]
[795, 937, 1060, 1114]
[927, 938, 1192, 1115]
[1059, 939, 1324, 1115]
[1191, 939, 1456, 1116]
[1323, 940, 1588, 1117]
[1455, 941, 1720, 1117]
[1587, 941, 1852, 1118]
[1719, 942, 1984, 1119]
[1851, 942, 2116, 1119]
[1983, 943, 2248, 1120]
[2115, 944, 2380, 1121]
[2247, 945, 2512, 1121]
[2379, 945, 2644, 1122]
[2511, 946, 2776, 1123]
[2643, 947, 2908, 1123]
[2775, 947, 3040, 1124]
[2907, 948, 3172, 1125]
[3039, 949, 3304, 1126]
[3171, 949, 3436, 1126]
[3303, 950, 3568, 1127]
