['x1', 'y1', 'x2', 'y2']
[238, 253, 421, 430]
[329, 252, 512, 430]
[420, 250, 603, 427]
[511, 250, 694, 425]
[602, 250, 785, 425]
[693, 250, 876, 427]
[784, 252, 967, 428]
[875, 252, 1058, 428]
[966, 255, 1149, 430]
[1057, 256, 1240, 431]
[1148, 258, 1331, 431]
[1239, 258, 1422, 431]
[1330, 256, 1513, 431]
[1421, 256, 1604, 431]
[1512, 256, 1695, 431]
[1603, 258, 1786, 431]
[1694, 258, 1877, 433]
[1785, 259, 1968, 434]
[1876, 262, 2059, 436]
[1967, 265, 2150, 437]
[2058, 266, 2241, 440]
[2149, 268, 2332, 441]
[2240, 268, 2423, 441]
[2331, 268, 2514, 441]
[2422, 266, 2605, 441]
[2513, 266, 2696, 441]
[2604, 268, 2787, 441]
[2695, 269, 2878, 441]
[2786, 269, 2969, 441]
[2877, 271, 3060, 443]
[2968, 272, 3151, 444]
[3059, 275, 3242, 446]
[3150, 276, 3333, 447]
[3241, 279, 3424, 449]
[3332, 281, 3515, 450]
[238, 483, 421, 661]
[329, 483, 512, 661]
[420, 483, 603, 659]
[511, 483, 694, 659]
[602, 483, 785, 659]
[693, 484, 876, 661]
[784, 484, 967, 661]
[875, 486, 1058, 661]
[966, 486, 1149, 661]
[1057, 487, 1240, 661]
[1148, 487, 1331, 662]
[1239, 487, 1422, 662]
[1330, 487, 1513, 662]
[1421, 487, 1604, 662]
[1512, 487, 1695, 662]
[1603, 487, 1786, 662]
[1694, 487, 1877, 662]
[1785, 487, 1968, 664]
[1876, 488, 2059, 664]
[1967, 488, 2150, 664]
[2058, 490, 2241, 665]
[2149, 491, 2332, 665]
[2240, 491, 2423, 667]
[2331, 493, 2514, 667]
[2422, 494, 2605, 667]
[2513, 496, 2696, 668]
[2604, 496, 2787, 668]
[2695, 496, 2878, 668]
[2786, 496, 2969, 668]
[2877, 496, 3060, 668]
[2968, 496, 3151, 668]
[3059, 496, 3242, 669]
[3150, 497, 3333, 669]
[3241, 499, 3424, 669]
[3332, 499, 3515, 669]
[238, 717, 421, 895]
[329, 718, 512, 895]
[420, 718, 603, 895]
[511, 718, 694, 895]
[602, 718, 785, 895]
[693, 718, 876, 895]
[784, 718, 967, 895]
[875, 718, 1058, 895]
[966, 718, 1149, 895]
[1057, 718, 1240, 893]
[1148, 718, 1331, 893]
[1239, 718, 1422, 895]
[1330, 718, 1513, 895]
[1421, 718, 1604, 893]
[1512, 719, 1695, 893]
[1603, 719, 1786, 893]
[1694, 719, 1877, 893]
[1785, 719, 1968, 893]
[1876, 719, 2059, 893]
[1967, 719, 2150, 892]
[2058, 719, 2241, 892]
[2149, 719, 2332, 892]
[2240, 719, 2423, 892]
[2331, 719, 2514, 892]
[2422, 719, 2605, 892]
[2513, 719, 2696, 892]
[2604, 719, 2787, 892]
[2695, 719, 2878, 892]
[2786, 721, 2969, 892]
[2877, 721, 3060, 892]
[2968, 721, 3151, 892]
[3059, 721, 3242, 892]
[3150, 721, 3333, 892]
[3241, 721, 3424, 892]
[3332, 721, 3515, 892]
[238, 950, 421, 1127]
[329, 950, 512, 1128]
[420, 952, 603, 1128]
[511, 952, 694, 1128]
[602, 952, 785, 1128]
[693, 952, 876, 1127]
[784, 952, 967, 1126]
[875, 952, 1058, 1126]
[966, 950, 1149, 1124]
[1057, 950, 1240, 1124]
[1148, 950, 1331, 1123]
[1239, 950, 1422, 1123]
[1330, 949, 1513, 1123]
[1421, 949, 1604, 1123]
[1512, 949, 1695, 1121]
[1603, 949, 1786, 1121]
[1694, 947, 1877, 1121]
[1785, 947, 1968, 1120]
[1876, 947, 2059, 1120]
[1967, 946, 2150, 1118]
[2058, 946, 2241, 1118]
[2149, 946, 2332, 1118]
[2240, 945, 2423, 1117]
[2331, 945, 2514, 1117]
[2422, 945, 2605, 1117]
[2513, 945, 2696, 1115]
[2604, 945, 2787, 1115]
[2695, 943, 2878, 1115]
[2786, 943, 2969, 1115]
[2877, 943, 3060, 1115]
[2968, 943, 3151, 1114]
[3059, 943, 3242, 1114]
[3150, 943, 3333, 1114]
[3241, 943, 3424, 1114]
[3332, 943, 3515, 1114]
[238, 1178, 421, 1361]
[329, 1180, 512, 1362]
[420, 1184, 603, 1364]
[511, 1186, 694, 1364]
[602, 1187, 785, 1364]
[693, 1186, 876, 1364]
[784, 1184, 967, 1362]
[875, 1183, 1058, 1362]
[966, 1183, 1149, 1361]
[1057, 1181, 1240, 1361]
[1148, 1181, 1331, 1358]
[1239, 1180, 1422, 1358]
[1330, 1180, 1513, 1358]
[1421, 1180, 1604, 1356]
[1512, 1178, 1695, 1356]
[1603, 1178, 1786, 1355]
[1694, 1177, 1877, 1354]
[1785, 1177, 1968, 1354]
[1876, 1177, 2059, 1352]
[1967, 1175, 2150, 1351]
[2058, 1175, 2241, 1351]
[2149, 1174, 2332, 1349]
[2240, 1174, 2423, 1349]
[2331, 1173, 2514, 1349]
[2422, 1173, 2605, 1348]
[2513, 1173, 2696, 1346]
[2604, 1173, 2787, 1346]
[2695, 1171, 2878, 1345]
[2786, 1170, 2969, 1343]
[2877, 1170, 3060, 1343]
[2968, 1168, 3151, 1342]
[3059, 1167, 3242, 1340]
[3150, 1165, 3333, 1339]
[3241, 1165, 3424, 1338]
[3332, 1164, 3515, 1336]
