['x1', 'y1', 'x2', 'y2']
[467, 229, 772, 405]
[619, 229, 924, 405]
[771, 230, 1076, 405]
[923, 230, 1228, 405]
[1075, 230, 1380, 406]
[1227, 230, 1532, 406]
[1379, 230, 1684, 407]
[1531, 230, 1836, 407]
[1683, 230, 1988, 406]
[1835, 231, 2140, 407]
[1987, 230, 2292, 407]
[2139, 230, 2444, 407]
[2291, 231, 2596, 407]
[2443, 232, 2748, 408]
[2595, 232, 2900, 409]
[2747, 232, 3052, 409]
[2899, 232, 3204, 408]
[3051, 233, 3356, 409]
[3203, 233, 3508, 409]
[3355, 233, 3660, 411]
[467, 463, 772, 640]
[619, 463, 924, 640]
[771, 463, 1076, 641]
[923, 463, 1228, 641]
[1075, 464, 1380, 641]
[1227, 464, 1532, 641]
[1379, 464, 1684, 642]
[1531, 464, 1836, 642]
[1683, 465, 1988, 642]
[1835, 465, 2140, 642]
[1987, 465, 2292, 642]
[2139, 465, 2444, 643]
[2291, 465, 2596, 643]
[2443, 466, 2748, 645]
[2595, 466, 2900, 645]
[2747, 466, 3052, 644]
[2899, 466, 3204, 644]
[3051, 466, 3356, 644]
[3203, 467, 3508, 645]
[3355, 467, 3660, 646]
[467, 698, 772, 876]
[619, 699, 924, 877]
[771, 699, 1076, 877]
[923, 699, 1228, 877]
[1075, 700, 1380, 877]
[1227, 700, 1532, 878]
[1379, 700, 1684, 878]
[1531, 700, 1836, 878]
[1683, 700, 1988, 878]
[1835, 701, 2140, 878]
[1987, 701, 2292, 879]
[2139, 701, 2444, 879]
[2291, 701, 2596, 879]
[2443, 701, 2748, 879]
[2595, 702, 2900, 880]
[2747, 702, 3052, 880]
[2899, 702, 3204, 880]
[3051, 702, 3356, 881]
[3203, 703, 3508, 881]
[3355, 703, 3660, 882]
[467, 934, 772, 1110]
[619, 935, 924, 1111]
[771, 935, 1076, 1111]
[923, 935, 1228, 1111]
[1075, 936, 1380, 1112]
[1227, 936, 1532, 1112]
[1379, 936, 1684, 1112]
[1531, 936, 1836, 1112]
[1683, 937, 1988, 1113]
[1835, 937, 2140, 1113]
[1987, 937, 2292, 1113]
[2139, 937, 2444, 1113]
[2291, 937, 2596, 1114]
[2443, 938, 2748, 1115]
[2595, 938, 2900, 1115]
[2747, 938, 3052, 1114]
[2899, 938, 3204, 1115]
[3051, 939, 3356, 1115]
[3203, 939, 3508, 1116]
[3355, 940, 3660, 1116]
[467, 1168, 772, 1345]
[619, 1168, 924, 1345]
[771, 1169, 1076, 1345]
[923, 1169, 1228, 1346]
[1075, 1169, 1380, 1346]
[1227, 1169, 1532, 1346]
[1379, 1170, 1684, 1347]
[1531, 1170, 1836, 1347]
[1683, 1170, 1988, 1347]
[1835, 1171, 2140, 1347]
[1987, 1171, 2292, 1349]
[2139, 1171, 2444, 1349]
[2291, 1171, 2596, 1348]
[2443, 1171, 2748, 1348]
[2595, 1172, 2900, 1349]
[2747, 1172, 3052, 1349]
[2899, 1172, 3204, 1349]
[3051, 1173, 3356, 1350]
[3203, 1173, 3508, 1350]
[3355, 1173, 3660, 1351]
[467, 1402, 772, 1579]
[619, 1403, 924, 1580]
[771, 1403, 1076, 1580]
[923, 1403, 1228, 1580]
[1075, 1404, 1380, 1581]
[1227, 1404, 1532, 1581]
[1379, 1404, 1684, 1581]
[1531, 1405, 1836, 1582]
[1683, 1405, 1988, 1582]
[1835, 1405, 2140, 1582]
[1987, 1405, 2292, 1582]
[2139, 1406, 2444, 1583]
[2291, 1406, 2596, 1583]
[2443, 1406, 2748, 1583]
[2595, 1406, 2900, 1584]
[2747, 1407, 3052, 1584]
[2899, 1407, 3204, 1584]
[3051, 1407, 3356, 1585]
[3203, 1408, 3508, 1585]
[3355, 1408, 3660, 1585]
