['x1', 'y1', 'x2', 'y2']
[441, 228, 749, 403]
[595, 228, 903, 403]
[749, 228, 1057, 403]
[903, 227, 1211, 403]
[1057, 227, 1365, 403]
[1211, 228, 1519, 403]
[1365, 228, 1673, 403]
[1519, 228, 1827, 403]
[1673, 228, 1981, 403]
[1827, 228, 2135, 403]
[1981, 228, 2289, 403]
[2135, 228, 2443, 403]
[2289, 228, 2597, 403]
[2443, 228, 2751, 403]
[2597, 228, 2905, 403]
[2751, 228, 3059, 403]
[2905, 228, 3213, 404]
[3059, 228, 3367, 404]
[3213, 228, 3521, 404]
[3367, 228, 3675, 405]
[441, 461, 749, 639]
[595, 461, 903, 639]
[749, 461, 1057, 639]
[903, 462, 1211, 639]
[1057, 462, 1365, 639]
[1211, 462, 1519, 640]
[1365, 462, 1673, 640]
[1519, 462, 1827, 639]
[1673, 462, 1981, 640]
[1827, 462, 2135, 640]
[1981, 461, 2289, 639]
[2135, 461, 2443, 639]
[2289, 462, 2597, 639]
[2443, 462, 2751, 639]
[2597, 462, 2905, 640]
[2751, 462, 3059, 640]
[2905, 462, 3213, 639]
[3059, 462, 3367, 639]
[3213, 462, 3521, 640]
[3367, 462, 3675, 640]
[441, 697, 749, 875]
[595, 697, 903, 875]
[749, 697, 1057, 875]
[903, 697, 1211, 875]
[1057, 697, 1365, 875]
[1211, 698, 1519, 875]
[1365, 698, 1673, 875]
[1519, 697, 1827, 876]
[1673, 697, 1981, 876]
[1827, 697, 2135, 875]
[1981, 697, 2289, 875]
[2135, 698, 2443, 875]
[2289, 698, 2597, 875]
[2443, 698, 2751, 875]
[2597, 698, 2905, 876]
[2751, 698, 3059, 876]
[2905, 698, 3213, 876]
[3059, 698, 3367, 876]
[3213, 698, 3521, 876]
[3367, 698, 3675, 877]
