['x1', 'y1', 'x2', 'y2']
[382, 233, 702, 413]
[542, 233, 862, 410]
[702, 233, 1022, 412]
[862, 233, 1182, 413]
[1022, 236, 1342, 416]
[1182, 239, 1502, 417]
[1342, 241, 1662, 417]
[1502, 242, 1822, 417]
[1662, 242, 1982, 419]
[1822, 244, 2142, 422]
[1982, 248, 2302, 426]
[2142, 251, 2462, 428]
[2302, 254, 2622, 429]
[2462, 254, 2782, 429]
[2622, 254, 2942, 429]
[2782, 255, 3102, 431]
[2942, 257, 3262, 434]
[3102, 261, 3422, 437]
[3262, 266, 3582, 440]
[3422, 270, 3742, 444]
[382, 466, 702, 646]
[542, 466, 862, 644]
[702, 467, 1022, 646]
[862, 467, 1182, 647]
[1022, 470, 1342, 647]
[1182, 472, 1502, 648]
[1342, 472, 1662, 650]
[1502, 473, 1822, 650]
[1662, 473, 1982, 650]
[1822, 475, 2142, 651]
[1982, 475, 2302, 653]
[2142, 476, 2462, 654]
[2302, 479, 2622, 656]
[2462, 481, 2782, 656]
[2622, 482, 2942, 657]
[2782, 485, 3102, 659]
[2942, 485, 3262, 659]
[3102, 485, 3422, 659]
[3262, 486, 3582, 660]
[3422, 488, 3742, 663]
[382, 701, 702, 879]
[542, 701, 862, 879]
[702, 703, 1022, 881]
[862, 703, 1182, 881]
[1022, 704, 1342, 881]
[1182, 704, 1502, 881]
[1342, 704, 1662, 881]
[1502, 706, 1822, 882]
[1662, 706, 1982, 882]
[1822, 707, 2142, 882]
[1982, 707, 2302, 882]
[2142, 707, 2462, 882]
[2302, 709, 2622, 882]
[2462, 709, 2782, 882]
[2622, 709, 2942, 882]
[2782, 710, 3102, 882]
[2942, 710, 3262, 882]
[3102, 710, 3422, 884]
[3262, 712, 3582, 884]
[3422, 712, 3742, 885]
[382, 935, 702, 1115]
[542, 938, 862, 1115]
[702, 938, 1022, 1113]
[862, 937, 1182, 1113]
[1022, 937, 1342, 1112]
[1182, 937, 1502, 1112]
[1342, 937, 1662, 1110]
[1502, 937, 1822, 1110]
[1662, 937, 1982, 1109]
[1822, 937, 2142, 1109]
[1982, 937, 2302, 1109]
[2142, 935, 2462, 1108]
[2302, 935, 2622, 1108]
[2462, 935, 2782, 1108]
[2622, 935, 2942, 1106]
[2782, 935, 3102, 1106]
[2942, 935, 3262, 1106]
[3102, 935, 3422, 1106]
[3262, 935, 3582, 1106]
[3422, 935, 3742, 1106]
[382, 1165, 702, 1350]
[542, 1169, 862, 1352]
[702, 1172, 1022, 1352]
[862, 1169, 1182, 1350]
[1022, 1169, 1342, 1350]
[1182, 1168, 1502, 1350]
[1342, 1166, 1662, 1349]
[1502, 1166, 1822, 1347]
[1662, 1165, 1982, 1346]
[1822, 1165, 2142, 1346]
[1982, 1163, 2302, 1344]
[2142, 1163, 2462, 1343]
[2302, 1163, 2622, 1342]
[2462, 1163, 2782, 1340]
[2622, 1163, 2942, 1339]
[2782, 1162, 3102, 1339]
[2942, 1162, 3262, 1337]
[3102, 1159, 3422, 1336]
[3262, 1157, 3582, 1333]
[3422, 1157, 3742, 1331]
