['x1', 'y1', 'x2', 'y2']
[409, 232, 675, 408]
[542, 232, 808, 408]
[675, 231, 941, 408]
[808, 231, 1074, 408]
[941, 231, 1207, 407]
[1074, 230, 1340, 406]
[1207, 230, 1473, 406]
[1340, 229, 1606, 406]
[1473, 229, 1739, 407]
[1606, 229, 1872, 407]
[1739, 229, 2005, 404]
[1872, 228, 2138, 404]
[2005, 228, 2271, 404]
[2138, 227, 2404, 403]
[2271, 227, 2537, 403]
[2404, 227, 2670, 403]
[2537, 227, 2803, 402]
[2670, 226, 2936, 402]
[2803, 226, 3069, 402]
[2936, 226, 3202, 401]
[3069, 222, 3335, 401]
[3202, 222, 3468, 401]
[3335, 226, 3601, 403]
[409, 465, 675, 643]
[542, 465, 808, 643]
[675, 465, 941, 643]
[808, 465, 1074, 642]
[941, 464, 1207, 643]
[1074, 464, 1340, 643]
[1207, 464, 1473, 641]
[1340, 463, 1606, 641]
[1473, 463, 1739, 641]
[1606, 463, 1872, 640]
[1739, 462, 2005, 640]
[1872, 462, 2138, 639]
[2005, 462, 2271, 639]
[2138, 461, 2404, 639]
[2271, 461, 2537, 639]
[2404, 461, 2670, 639]
[2537, 460, 2803, 639]
[2670, 460, 2936, 638]
[2803, 460, 3069, 637]
[2936, 460, 3202, 637]
[3069, 460, 3335, 637]
[3202, 459, 3468, 637]
[3335, 459, 3601, 638]
[409, 701, 675, 879]
[542, 701, 808, 879]
[675, 701, 941, 879]
[808, 700, 1074, 879]
[941, 700, 1207, 878]
[1074, 700, 1340, 878]
[1207, 700, 1473, 877]
[1340, 699, 1606, 877]
[1473, 699, 1739, 877]
[1606, 698, 1872, 876]
[1739, 698, 2005, 876]
[1872, 697, 2138, 876]
[2005, 697, 2271, 876]
[2138, 697, 2404, 876]
[2271, 697, 2537, 875]
[2404, 696, 2670, 874]
[2537, 696, 2803, 874]
[2670, 696, 2936, 874]
[2803, 696, 3069, 874]
[2936, 695, 3202, 873]
[3069, 695, 3335, 873]
[3202, 695, 3468, 873]
[3335, 695, 3601, 873]
[409, 937, 675, 1113]
[542, 937, 808, 1113]
[675, 937, 941, 1113]
[808, 936, 1074, 1112]
[941, 936, 1207, 1112]
[1074, 936, 1340, 1112]
[1207, 935, 1473, 1112]
[1340, 935, 1606, 1111]
[1473, 935, 1739, 1112]
[1606, 934, 1872, 1112]
[1739, 934, 2005, 1110]
[1872, 934, 2138, 1110]
[2005, 934, 2271, 1110]
[2138, 933, 2404, 1109]
[2271, 933, 2537, 1109]
[2404, 933, 2670, 1109]
[2537, 932, 2803, 1108]
[2670, 932, 2936, 1108]
[2803, 932, 3069, 1108]
[2936, 932, 3202, 1107]
[3069, 931, 3335, 1107]
[3202, 931, 3468, 1107]
[3335, 931, 3601, 1107]
[409, 1170, 675, 1347]
[542, 1171, 808, 1347]
[675, 1170, 941, 1347]
[808, 1170, 1074, 1347]
[941, 1170, 1207, 1346]
[1074, 1170, 1340, 1347]
[1207, 1169, 1473, 1347]
[1340, 1169, 1606, 1346]
[1473, 1168, 1739, 1345]
[1606, 1168, 1872, 1345]
[1739, 1168, 2005, 1345]
[1872, 1168, 2138, 1345]
[2005, 1167, 2271, 1344]
[2138, 1167, 2404, 1344]
[2271, 1167, 2537, 1344]
[2404, 1166, 2670, 1343]
[2537, 1166, 2803, 1343]
[2670, 1166, 2936, 1343]
[2803, 1165, 3069, 1342]
[2936, 1165, 3202, 1342]
[3069, 1165, 3335, 1342]
[3202, 1165, 3468, 1342]
[3335, 1165, 3601, 1341]
